FID IID POP
HG01077 HG01077 AMR
HG01079 HG01079 AMR
HG01080 HG01080 AMR
HG01082 HG01082 AMR
HG01083 HG01083 AMR
HG01085 HG01085 AMR
HG01086 HG01086 AMR
HG01088 HG01088 AMR
HG01089 HG01089 AMR
HG01092 HG01092 AMR
HG01094 HG01094 AMR
HG01095 HG01095 AMR
HG01097 HG01097 AMR
HG01098 HG01098 AMR
HG01101 HG01101 AMR
HG01102 HG01102 AMR
HG01104 HG01104 AMR
HG01105 HG01105 AMR
HG01107 HG01107 AMR
HG01108 HG01108 AMR
HG01110 HG01110 AMR
HG01111 HG01111 AMR
HG01112 HG01112 AMR
HG01113 HG01113 AMR
HG01119 HG01119 AMR
HG01121 HG01121 AMR
HG01122 HG01122 AMR
HG01124 HG01124 AMR
HG01125 HG01125 AMR
HG01130 HG01130 AMR
HG01131 HG01131 AMR
HG01133 HG01133 AMR
HG01134 HG01134 AMR
HG01136 HG01136 AMR
HG01137 HG01137 AMR
HG01139 HG01139 AMR
HG01140 HG01140 AMR
HG01142 HG01142 AMR
HG01148 HG01148 AMR
HG01149 HG01149 AMR
HG01161 HG01161 AMR
HG01162 HG01162 AMR
HG01164 HG01164 AMR
HG01167 HG01167 AMR
HG01168 HG01168 AMR
HG01170 HG01170 AMR
HG01171 HG01171 AMR
HG01173 HG01173 AMR
HG01174 HG01174 AMR
HG01176 HG01176 AMR
HG01177 HG01177 AMR
HG01182 HG01182 AMR
HG01183 HG01183 AMR
HG01187 HG01187 AMR
HG01188 HG01188 AMR
HG01190 HG01190 AMR
HG01191 HG01191 AMR
HG01197 HG01197 AMR
HG01198 HG01198 AMR
HG01200 HG01200 AMR
HG01204 HG01204 AMR
HG01205 HG01205 AMR
HG01241 HG01241 AMR
HG01242 HG01242 AMR
HG01247 HG01247 AMR
HG01248 HG01248 AMR
HG01250 HG01250 AMR
HG01251 HG01251 AMR
HG01253 HG01253 AMR
HG01254 HG01254 AMR
HG01256 HG01256 AMR
HG01257 HG01257 AMR
HG01259 HG01259 AMR
HG01260 HG01260 AMR
HG01269 HG01269 AMR
HG01271 HG01271 AMR
HG01272 HG01272 AMR
HG01275 HG01275 AMR
HG01277 HG01277 AMR
HG01280 HG01280 AMR
HG01281 HG01281 AMR
HG01284 HG01284 AMR
HG01286 HG01286 AMR
HG01302 HG01302 AMR
HG01303 HG01303 AMR
HG01305 HG01305 AMR
HG01308 HG01308 AMR
HG01311 HG01311 AMR
HG01312 HG01312 AMR
HG01323 HG01323 AMR
HG01325 HG01325 AMR
HG01326 HG01326 AMR
HG01334 HG01334 EUR
HG01341 HG01341 AMR
HG01342 HG01342 AMR
HG01344 HG01344 AMR
HG01345 HG01345 AMR
HG01348 HG01348 AMR
HG01350 HG01350 AMR
HG01351 HG01351 AMR
HG01353 HG01353 AMR
HG01354 HG01354 AMR
HG01356 HG01356 AMR
HG01357 HG01357 AMR
HG01359 HG01359 AMR
HG01360 HG01360 AMR
HG01362 HG01362 AMR
HG01363 HG01363 AMR
HG01365 HG01365 AMR
HG01366 HG01366 AMR
HG01369 HG01369 AMR
HG01372 HG01372 AMR
HG01374 HG01374 AMR
HG01375 HG01375 AMR
HG01377 HG01377 AMR
HG01378 HG01378 AMR
HG01383 HG01383 AMR
HG01384 HG01384 AMR
HG01389 HG01389 AMR
HG01390 HG01390 AMR
HG01392 HG01392 AMR
HG01393 HG01393 AMR
HG01395 HG01395 AMR
HG01396 HG01396 AMR
HG01398 HG01398 AMR
HG01402 HG01402 AMR
HG01403 HG01403 AMR
HG01405 HG01405 AMR
HG01412 HG01412 AMR
HG01413 HG01413 AMR
HG01414 HG01414 AMR
HG01431 HG01431 AMR
HG01432 HG01432 AMR
HG01435 HG01435 AMR
HG01437 HG01437 AMR
HG01438 HG01438 AMR
HG01440 HG01440 AMR
HG01441 HG01441 AMR
HG01443 HG01443 AMR
HG01444 HG01444 AMR
HG01447 HG01447 AMR
HG01455 HG01455 AMR
HG01456 HG01456 AMR
HG01459 HG01459 AMR
HG01461 HG01461 AMR
HG01462 HG01462 AMR
HG01464 HG01464 AMR
HG01465 HG01465 AMR
HG01468 HG01468 AMR
HG01474 HG01474 AMR
HG01479 HG01479 AMR
HG01485 HG01485 AMR
HG01486 HG01486 AMR
HG01488 HG01488 AMR
HG01489 HG01489 AMR
HG01491 HG01491 AMR
HG01492 HG01492 AMR
HG01494 HG01494 AMR
HG01495 HG01495 AMR
HG01497 HG01497 AMR
HG01498 HG01498 AMR
HG01500 HG01500 EUR
HG01501 HG01501 EUR
HG01503 HG01503 EUR
HG01504 HG01504 EUR
HG01506 HG01506 EUR
HG01507 HG01507 EUR
HG01509 HG01509 EUR
HG01510 HG01510 EUR
HG01512 HG01512 EUR
HG01513 HG01513 EUR
HG01515 HG01515 EUR
HG01516 HG01516 EUR
HG01518 HG01518 EUR
HG01519 HG01519 EUR
HG01521 HG01521 EUR
HG01522 HG01522 EUR
HG01524 HG01524 EUR
HG01525 HG01525 EUR
HG01527 HG01527 EUR
HG01528 HG01528 EUR
HG01530 HG01530 EUR
HG01531 HG01531 EUR
HG01536 HG01536 EUR
HG01537 HG01537 EUR
HG01550 HG01550 AMR
HG01551 HG01551 AMR
HG01556 HG01556 AMR
HG01565 HG01565 AMR
HG01566 HG01566 AMR
HG01571 HG01571 AMR
HG01572 HG01572 AMR
HG01577 HG01577 AMR
HG01578 HG01578 AMR
HG01583 HG01583 SAS
HG01586 HG01586 SAS
HG01589 HG01589 SAS
HG01593 HG01593 SAS
HG01595 HG01595 EAS
HG01596 HG01596 EAS
HG01597 HG01597 EAS
HG01598 HG01598 EAS
HG01599 HG01599 EAS
HG01600 HG01600 EAS
HG01602 HG01602 EUR
HG01603 HG01603 EUR
HG01605 HG01605 EUR
HG01606 HG01606 EUR
HG01607 HG01607 EUR
HG01608 HG01608 EUR
HG01610 HG01610 EUR
HG01612 HG01612 EUR
HG01613 HG01613 EUR
