FID IID POP
NA19055 NA19055 EAS
NA19056 NA19056 EAS
NA19057 NA19057 EAS
NA19058 NA19058 EAS
NA19059 NA19059 EAS
NA19060 NA19060 EAS
NA19062 NA19062 EAS
NA19063 NA19063 EAS
NA19064 NA19064 EAS
NA19065 NA19065 EAS
NA19066 NA19066 EAS
NA19067 NA19067 EAS
NA19068 NA19068 EAS
NA19070 NA19070 EAS
NA19072 NA19072 EAS
NA19074 NA19074 EAS
NA19075 NA19075 EAS
NA19076 NA19076 EAS
NA19077 NA19077 EAS
NA19078 NA19078 EAS
NA19079 NA19079 EAS
NA19080 NA19080 EAS
NA19081 NA19081 EAS
NA19082 NA19082 EAS
NA19083 NA19083 EAS
NA19084 NA19084 EAS
NA19085 NA19085 EAS
NA19086 NA19086 EAS
NA19087 NA19087 EAS
NA19088 NA19088 EAS
NA19089 NA19089 EAS
NA19090 NA19090 EAS
NA19091 NA19091 EAS
NA19092 NA19092 AFR
NA19093 NA19093 AFR
NA19095 NA19095 AFR
NA19096 NA19096 AFR
NA19098 NA19098 AFR
NA19099 NA19099 AFR
NA19102 NA19102 AFR
NA19107 NA19107 AFR
NA19108 NA19108 AFR
NA19113 NA19113 AFR
NA19114 NA19114 AFR
NA19116 NA19116 AFR
NA19117 NA19117 AFR
NA19118 NA19118 AFR
NA19119 NA19119 AFR
NA19121 NA19121 AFR
NA19129 NA19129 AFR
NA19130 NA19130 AFR
NA19131 NA19131 AFR
NA19137 NA19137 AFR
NA19138 NA19138 AFR
NA19141 NA19141 AFR
NA19143 NA19143 AFR
NA19144 NA19144 AFR
NA19146 NA19146 AFR
NA19147 NA19147 AFR
NA19149 NA19149 AFR
NA19152 NA19152 AFR
NA19153 NA19153 AFR
NA19159 NA19159 AFR
NA19160 NA19160 AFR
NA19171 NA19171 AFR
NA19172 NA19172 AFR
NA19175 NA19175 AFR
NA19184 NA19184 AFR
NA19185 NA19185 AFR
NA19189 NA19189 AFR
NA19190 NA19190 AFR
NA19197 NA19197 AFR
NA19198 NA19198 AFR
NA19200 NA19200 AFR
NA19201 NA19201 AFR
NA19204 NA19204 AFR
NA19206 NA19206 AFR
NA19207 NA19207 AFR
NA19209 NA19209 AFR
NA19210 NA19210 AFR
NA19213 NA19213 AFR
NA19214 NA19214 AFR
NA19222 NA19222 AFR
NA19223 NA19223 AFR
NA19225 NA19225 AFR
NA19235 NA19235 AFR
NA19236 NA19236 AFR
NA19238 NA19238 AFR
NA19239 NA19239 AFR
NA19247 NA19247 AFR
NA19248 NA19248 AFR
NA19256 NA19256 AFR
NA19257 NA19257 AFR
NA19307 NA19307 AFR
NA19308 NA19308 AFR
NA19309 NA19309 AFR
NA19310 NA19310 AFR
NA19312 NA19312 AFR
NA19314 NA19314 AFR
NA19315 NA19315 AFR
NA19316 NA19316 AFR
NA19317 NA19317 AFR
NA19318 NA19318 AFR
NA19319 NA19319 AFR
NA19320 NA19320 AFR
NA19321 NA19321 AFR
NA19323 NA19323 AFR
NA19324 NA19324 AFR
NA19327 NA19327 AFR
NA19328 NA19328 AFR
NA19331 NA19331 AFR
NA19332 NA19332 AFR
NA19334 NA19334 AFR
NA19338 NA19338 AFR
NA19346 NA19346 AFR
NA19347 NA19347 AFR
NA19350 NA19350 AFR
NA19351 NA19351 AFR
NA19355 NA19355 AFR
NA19360 NA19360 AFR
NA19372 NA19372 AFR
NA19374 NA19374 AFR
NA19375 NA19375 AFR
NA19376 NA19376 AFR
NA19377 NA19377 AFR
NA19378 NA19378 AFR
NA19379 NA19379 AFR
NA19380 NA19380 AFR
NA19383 NA19383 AFR
NA19384 NA19384 AFR
NA19385 NA19385 AFR
NA19390 NA19390 AFR
NA19391 NA19391 AFR
NA19393 NA19393 AFR
NA19394 NA19394 AFR
NA19395 NA19395 AFR
NA19397 NA19397 AFR
NA19399 NA19399 AFR
NA19401 NA19401 AFR
NA19403 NA19403 AFR
NA19404 NA19404 AFR
NA19428 NA19428 AFR
NA19429 NA19429 AFR
NA19430 NA19430 AFR
NA19431 NA19431 AFR
NA19434 NA19434 AFR
NA19435 NA19435 AFR
NA19436 NA19436 AFR
NA19437 NA19437 AFR
NA19438 NA19438 AFR
NA19439 NA19439 AFR
NA19440 NA19440 AFR
NA19443 NA19443 AFR
NA19445 NA19445 AFR
NA19446 NA19446 AFR
NA19448 NA19448 AFR
NA19449 NA19449 AFR
NA19451 NA19451 AFR
NA19452 NA19452 AFR
NA19454 NA19454 AFR
NA19455 NA19455 AFR
NA19456 NA19456 AFR
NA19457 NA19457 AFR
NA19461 NA19461 AFR
NA19462 NA19462 AFR
NA19463 NA19463 AFR
NA19466 NA19466 AFR
NA19467 NA19467 AFR
NA19468 NA19468 AFR
NA19471 NA19471 AFR
NA19472 NA19472 AFR
NA19473 NA19473 AFR
NA19474 NA19474 AFR
NA19475 NA19475 AFR
NA19625 NA19625 AFR
NA19648 NA19648 AMR
NA19649 NA19649 AMR
NA19651 NA19651 AMR
NA19652 NA19652 AMR
NA19654 NA19654 AMR
NA19655 NA19655 AMR
NA19657 NA19657 AMR
NA19658 NA19658 AMR
NA19661 NA19661 AMR
NA19663 NA19663 AMR
NA19664 NA19664 AMR
NA19669 NA19669 AMR
NA19670 NA19670 AMR
NA19676 NA19676 AMR
NA19678 NA19678 AMR
NA19679 NA19679 AMR
NA19681 NA19681 AMR
NA19682 NA19682 AMR
NA19684 NA19684 AMR
NA19700 NA19700 AFR
NA19701 NA19701 AFR
NA19703 NA19703 AFR
NA19704 NA19704 AFR
NA19707 NA19707 AFR
NA19711 NA19711 AFR
NA19712 NA19712 AFR
NA19713 NA19713 AFR
NA19716 NA19716 AMR
NA19717 NA19717 AMR
NA19719 NA19719 AMR
NA19720 NA19720 AMR
NA19722 NA19722 AMR
NA19723 NA19723 AMR
NA19725 NA19725 AMR
NA19726 NA19726 AMR
NA19728 NA19728 AMR
NA19729 NA19729 AMR
NA19731 NA19731 AMR
NA19732 NA19732 AMR
NA19734 NA19734 AMR
NA19735 NA19735 AMR
NA19740 NA19740 AMR
NA19741 NA19741 AMR
NA19746 NA19746 AMR
NA19747 NA19747 AMR
NA19749 NA19749 AMR
NA19750 NA19750 AMR
NA19752 NA19752 AMR
NA19755 NA19755 AMR
NA19756 NA19756 AMR
NA19758 NA19758 AMR
NA19759 NA19759 AMR
NA19761 NA19761 AMR
NA19762 NA19762 AMR
NA19764 NA19764 AMR
NA19770 NA19770 AMR
NA19771 NA19771 AMR
NA19773 NA19773 AMR
NA19774 NA19774 AMR
NA19776 NA19776 AMR
NA19777 NA19777 AMR
NA19779 NA19779 AMR
NA19780 NA19780 AMR
NA19782 NA19782 AMR
NA19783 NA19783 AMR
NA19785 NA19785 AMR
NA19786 NA19786 AMR
NA19788 NA19788 AMR
NA19789 NA19789 AMR
NA19792 NA19792 AMR
NA19794 NA19794 AMR
NA19795 NA19795 AMR
NA19818 NA19818 AFR
NA19819 NA19819 AFR
NA19834 NA19834 AFR
NA19835 NA19835 AFR
NA19900 NA19900 AFR
NA19901 NA19901 AFR
NA19904 NA19904 AFR
NA19908 NA19908 AFR
NA19909 NA19909 AFR
NA19913 NA19913 AFR
NA19914 NA19914 AFR
NA19916 NA19916 AFR
NA19917 NA19917 AFR
NA19920 NA19920 AFR
NA19921 NA19921 AFR
NA19922 NA19922 AFR
NA19923 NA19923 AFR
NA19982 NA19982 AFR
NA19984 NA19984 AFR
NA20126 NA20126 AFR
NA20127 NA20127 AFR
NA20274 NA20274 AFR
NA20276 NA20276 AFR
NA20278 NA20278 AFR
NA20281 NA20281 AFR
NA20282 NA20282 AFR
NA20287 NA20287 AFR
NA20289 NA20289 AFR
NA20291 NA20291 AFR
NA20294 NA20294 AFR
NA20296 NA20296 AFR
NA20298 NA20298 AFR
NA20299 NA20299 AFR
NA20314 NA20314 AFR
NA20317 NA20317 AFR
NA20318 NA20318 AFR
NA20320 NA20320 AFR
NA20321 NA20321 AFR
NA20332 NA20332 AFR
NA20334 NA20334 AFR
NA20339 NA20339 AFR
NA20340 NA20340 AFR
NA20342 NA20342 AFR
NA20346 NA20346 AFR
NA20348 NA20348 AFR
NA20351 NA20351 AFR
NA20355 NA20355 AFR
NA20356 NA20356 AFR
NA20357 NA20357 AFR
NA20359 NA20359 AFR
NA20362 NA20362 AFR
NA20412 NA20412 AFR
NA20502 NA20502 EUR
NA20503 NA20503 EUR
NA20504 NA20504 EUR
NA20505 NA20505 EUR
NA20506 NA20506 EUR
NA20507 NA20507 EUR
NA20508 NA20508 EUR
NA20509 NA20509 EUR
NA20510 NA20510 EUR
NA20511 NA20511 EUR
NA20512 NA20512 EUR
NA20513 NA20513 EUR
NA20514 NA20514 EUR
NA20515 NA20515 EUR
NA20516 NA20516 EUR
NA20517 NA20517 EUR
NA20518 NA20518 EUR
NA20519 NA20519 EUR
NA20520 NA20520 EUR
NA20521 NA20521 EUR
NA20522 NA20522 EUR
NA20524 NA20524 EUR
NA20525 NA20525 EUR
NA20527 NA20527 EUR
NA20528 NA20528 EUR
NA20529 NA20529 EUR
NA20530 NA20530 EUR
NA20531 NA20531 EUR
NA20532 NA20532 EUR
NA20533 NA20533 EUR
NA20534 NA20534 EUR
NA20535 NA20535 EUR
NA20536 NA20536 EUR
NA20538 NA20538 EUR
NA20539 NA20539 EUR
NA20540 NA20540 EUR
NA20541 NA20541 EUR
NA20542 NA20542 EUR
NA20543 NA20543 EUR
NA20544 NA20544 EUR
NA20581 NA20581 EUR
NA20582 NA20582 EUR
NA20585 NA20585 EUR
NA20586 NA20586 EUR
NA20587 NA20587 EUR
NA20588 NA20588 EUR
NA20589 NA20589 EUR
NA20752 NA20752 EUR
NA20753 NA20753 EUR
NA20754 NA20754 EUR
NA20755 NA20755 EUR
NA20756 NA20756 EUR
NA20757 NA20757 EUR
NA20758 NA20758 EUR
NA20759 NA20759 EUR
NA20760 NA20760 EUR
NA20761 NA20761 EUR
NA20762 NA20762 EUR
NA20763 NA20763 EUR
NA20764 NA20764 EUR
NA20765 NA20765 EUR
NA20766 NA20766 EUR
NA20767 NA20767 EUR
NA20768 NA20768 EUR
NA20769 NA20769 EUR
NA20770 NA20770 EUR
NA20771 NA20771 EUR
NA20772 NA20772 EUR
NA20773 NA20773 EUR
NA20774 NA20774 EUR
NA20775 NA20775 EUR
NA20778 NA20778 EUR
NA20783 NA20783 EUR
NA20785 NA20785 EUR
NA20786 NA20786 EUR
NA20787 NA20787 EUR
NA20790 NA20790 EUR
NA20792 NA20792 EUR
NA20795 NA20795 EUR
NA20796 NA20796 EUR
NA20797 NA20797 EUR
NA20798 NA20798 EUR
NA20799 NA20799 EUR
NA20800 NA20800 EUR
NA20801 NA20801 EUR
NA20802 NA20802 EUR
NA20803 NA20803 EUR
NA20804 NA20804 EUR
NA20805 NA20805 EUR
NA20806 NA20806 EUR
NA20807 NA20807 EUR
NA20808 NA20808 EUR
NA20809 NA20809 EUR
NA20810 NA20810 EUR
NA20811 NA20811 EUR
NA20812 NA20812 EUR
NA20813 NA20813 EUR
NA20814 NA20814 EUR
NA20815 NA20815 EUR
NA20818 NA20818 EUR
NA20819 NA20819 EUR
NA20821 NA20821 EUR
NA20822 NA20822 EUR
NA20826 NA20826 EUR
NA20827 NA20827 EUR
NA20828 NA20828 EUR
NA20832 NA20832 EUR
NA20845 NA20845 SAS
NA20846 NA20846 SAS
NA20847 NA20847 SAS
NA20849 NA20849 SAS
NA20850 NA20850 SAS
NA20851 NA20851 SAS
NA20852 NA20852 SAS
NA20853 NA20853 SAS
NA20854 NA20854 SAS
NA20856 NA20856 SAS
NA20858 NA20858 SAS
NA20859 NA20859 SAS
NA20861 NA20861 SAS
NA20862 NA20862 SAS
NA20863 NA20863 SAS
NA20864 NA20864 SAS
NA20866 NA20866 SAS
NA20867 NA20867 SAS
NA20868 NA20868 SAS
NA20869 NA20869 SAS
NA20870 NA20870 SAS
NA20872 NA20872 SAS
NA20874 NA20874 SAS
NA20875 NA20875 SAS
NA20876 NA20876 SAS
NA20877 NA20877 SAS
NA20878 NA20878 SAS
NA20881 NA20881 SAS
NA20882 NA20882 SAS
NA20884 NA20884 SAS
NA20885 NA20885 SAS
NA20886 NA20886 SAS
NA20887 NA20887 SAS
NA20888 NA20888 SAS
NA20889 NA20889 SAS
NA20890 NA20890 SAS
NA20891 NA20891 SAS
NA20892 NA20892 SAS
NA20894 NA20894 SAS
NA20895 NA20895 SAS
NA20896 NA20896 SAS
NA20897 NA20897 SAS
NA20899 NA20899 SAS
NA20900 NA20900 SAS
NA20901 NA20901 SAS
NA20902 NA20902 SAS
NA20903 NA20903 SAS
NA20904 NA20904 SAS
NA20905 NA20905 SAS
NA20906 NA20906 SAS
NA20908 NA20908 SAS
NA20910 NA20910 SAS
NA20911 NA20911 SAS
NA21086 NA21086 SAS
NA21087 NA21087 SAS
NA21088 NA21088 SAS
NA21089 NA21089 SAS
NA21090 NA21090 SAS
NA21091 NA21091 SAS
NA21092 NA21092 SAS
NA21093 NA21093 SAS
NA21094 NA21094 SAS
NA21095 NA21095 SAS
NA21097 NA21097 SAS
NA21098 NA21098 SAS
NA21099 NA21099 SAS
NA21100 NA21100 SAS
NA21101 NA21101 SAS
NA21102 NA21102 SAS
NA21103 NA21103 SAS
NA21104 NA21104 SAS
NA21105 NA21105 SAS
NA21106 NA21106 SAS
NA21107 NA21107 SAS
NA21108 NA21108 SAS
NA21109 NA21109 SAS
NA21110 NA21110 SAS
NA21111 NA21111 SAS
NA21112 NA21112 SAS
NA21113 NA21113 SAS
NA21114 NA21114 SAS
NA21115 NA21115 SAS
NA21116 NA21116 SAS
NA21117 NA21117 SAS
NA21118 NA21118 SAS
NA21119 NA21119 SAS
NA21120 NA21120 SAS
NA21122 NA21122 SAS
NA21123 NA21123 SAS
NA21124 NA21124 SAS
NA21125 NA21125 SAS
NA21126 NA21126 SAS
NA21127 NA21127 SAS
NA21128 NA21128 SAS
NA21129 NA21129 SAS
NA21130 NA21130 SAS
NA21133 NA21133 SAS
NA21135 NA21135 SAS
NA21137 NA21137 SAS
NA21141 NA21141 SAS
NA21142 NA21142 SAS
NA21143 NA21143 SAS
NA21144 NA21144 SAS
