trait,chr,block_id,m,candidate,min_eig_pre,min_eig_post
Asthma,22,20,110,MELD_lambda0_afproj,-0.0158882371980625,-1.87760093955987e-15
Asthma,22,20,110,MELD_lambda0_reportN,-0.0165823962040796,-1.73562843163656e-15
Asthma,22,20,110,MELD_lambda0_equal,-0.00320915261776608,-6.24036665192788e-16
Asthma,22,20,110,MELD_lambda1_afproj,-0.0154392103894036,-2.15180191417893e-15
Asthma,22,20,110,EUR,-0.0344285186574097,-5.43757357750802e-15
Asthma,22,20,110,EAS,-0.0286796556206286,-2.70459891194772e-15
Asthma,22,20,110,AFR,-0.0150798162376439,-9.05276159032392e-16
Asthma,22,20,110,CSA,-0.021689071321572,-3.04385589063357e-15
Asthma,22,20,110,AMR,-0.0312918999534647,-3.33790835199971e-15
Asthma,22,20,110,MID,-0.0228897924345844,-2.23628079688428e-15
Asthma,22,21,51,MELD_lambda0_afproj,-8.38481613212369e-05,-4.83447120542259e-16
Asthma,22,21,51,MELD_lambda0_reportN,-0.000508786982040707,1.18096721637984e-15
Asthma,22,21,51,MELD_lambda0_equal,0.00891910799118072,0.00891910799118064
Asthma,22,21,51,MELD_lambda1_afproj,-7.80257097024703e-05,-5.13538454555612e-16
Asthma,22,21,51,EUR,-0.00475384611830493,-1.00473865682858e-16
Asthma,22,21,51,EAS,-0.00251086908344768,-6.25908726344714e-17
Asthma,22,21,51,AFR,0.0157480239868167,0.0157480239868165
Asthma,22,21,51,CSA,0.000720081016275658,0.000720081016275193
Asthma,22,21,51,AMR,-0.00258672109040026,1.40609537154377e-15
Asthma,22,21,51,MID,0.00787401199340827,0.00787401199340809
Asthma,22,22,166,MELD_lambda0_afproj,-0.00929174465382381,-1.22568884746203e-15
Asthma,22,22,166,MELD_lambda0_reportN,-0.0100777820662626,-1.33535914529424e-15
Asthma,22,22,166,MELD_lambda0_equal,-0.00100778634064803,-4.84545547512651e-16
Asthma,22,22,166,MELD_lambda1_afproj,-0.00880245313896211,-1.83370997712009e-15
Asthma,22,22,166,EUR,-0.027970031338657,-2.30560839093629e-15
Asthma,22,22,166,EAS,-0.014917707157479,-9.58272746281525e-16
Asthma,22,22,166,AFR,-0.00542745001452888,3.8293426158929e-16
Asthma,22,22,166,CSA,-0.0151968178278226,-2.34122483824765e-15
Asthma,22,22,166,AMR,-0.0180616898368696,-1.34959985485365e-15
Asthma,22,22,166,MID,-0.00932283695760772,-7.6188633187056e-16
Asthma,22,23,212,MELD_lambda0_afproj,-0.00360343157449305,-2.03879699507213e-15
Asthma,22,23,212,MELD_lambda0_reportN,-0.00432856879779423,-6.62817011701436e-16
Asthma,22,23,212,MELD_lambda0_equal,-0.000702359356522689,-1.98563213478657e-15
Asthma,22,23,212,MELD_lambda1_afproj,-0.00330032658118156,-2.66625788548713e-15
Asthma,22,23,212,EUR,-0.0205773031322102,-2.52562713056522e-15
Asthma,22,23,212,EAS,-0.0165346131638952,-1.0688937141108e-15
Asthma,22,23,212,AFR,-0.0023163853302668,4.1800254647383e-16
Asthma,22,23,212,CSA,-0.00707287251751077,-1.80711222135728e-15
