gwas_pop,ld_pop,gwas,pgs_method,model,r,se,p,n,r_pct_of_diag
AMR,EUR,yengo_amr_ldeur,dbslmm,yengo_amr_ldeur_DBSLMM_1,0.26461017380575,0.0346406707809316,6.47438054067706e-14,777,94.5183505371513
AMR,EUR,yengo_amr_ldeur,quickprs,yengo_amr_ldeur_quickprs,0.224413578433385,0.0350048576502715,2.51181298615182e-10,777,82.4877045320909
AMR,EAS,yengo_amr_ldeas,ptclump,yengo_amr_ldeas_0_0.01,0.223158506177548,0.0350152092506285,3.17562083603178e-10,777,101.720949198152
AMR,EAS,yengo_amr_ldeas,dbslmm,yengo_amr_ldeas_DBSLMM_1,0.289709238235385,0.0343805751097739,1.72336573511719e-16,777,103.48369807385
AMR,EAS,yengo_amr_ldeas,quickprs,yengo_amr_ldeas_quickprs,0.198329294373482,0.0352075045334833,2.47610140879406e-08,777,72.899903600058
AMR,CSA,yengo_amr_ldcsa,ptclump,yengo_amr_ldcsa_0_0.01,0.227315587293908,0.0349806881979781,1.45273362279496e-10,777,103.615845540187
AMR,CSA,yengo_amr_ldcsa,dbslmm,yengo_amr_ldcsa_DBSLMM_1,0.27569088035811,0.0345289880738353,5.09415887495375e-15,777,98.4763620189172
AMR,CSA,yengo_amr_ldcsa,quickprs,yengo_amr_ldcsa_quickprs,0.218769062077294,0.0350509324799401,7.13277476545504e-10,777,80.4129495165605
AMR,AMR,yengo_amr_ldamr,ptclump,yengo_amr_ldamr_0_0.01,0.219383035585755,0.0350459805563727,6.37595396417487e-10,777,100
AMR,AMR,yengo_amr_ldamr,dbslmm,yengo_amr_ldamr_DBSLMM_1,0.279956402436099,0.0344846747211838,1.85515760076111e-15,777,100
AMR,AMR,yengo_amr_ldamr,quickprs,yengo_amr_ldamr_quickprs,0.272057004988034,0.0345661588381159,1.18791630041719e-14,777,100
AMR,AFR,yengo_amr_ldafr,ptclump,yengo_amr_ldafr_0_0.01,0.239954190433331,0.0348715983239801,1.22575977125691e-11,777,109.376821135076
AMR,AFR,yengo_amr_ldafr,dbslmm,yengo_amr_ldafr_DBSLMM_1,0.254502494303371,0.0347382559480757,5.94768824487218e-13,777,90.907902833714
AMR,AFR,yengo_amr_ldafr,quickprs,yengo_amr_ldafr_quickprs,0.250229303236803,0.0347782894049949,1.47601074938466e-12,777,91.9767911316268
AFR,EUR,yengo_afr_ldeur,ptclump,yengo_afr_ldeur_0_0.01,0.141671215103746,0.0355587522334703,7.41096690161562e-05,777,98.9777075539779
AFR,EUR,yengo_afr_ldeur,dbslmm,yengo_afr_ldeur_DBSLMM_1,0.140772085187064,0.0355633595428903,8.24079613541356e-05,777,79.4610461808531
AFR,EUR,yengo_afr_ldeur,quickprs,yengo_afr_ldeur_quickprs,0.172355508986427,0.0353834949407485,1.3460014294842e-06,777,75.9645184815325
AFR,EAS,yengo_afr_ldeas,ptclump,yengo_afr_ldeas_0_0.01,0.12706025762643,0.0356299202090839,0.00038454893742176,777,88.7698535787413
AFR,EAS,yengo_afr_ldeas,dbslmm,yengo_afr_ldeas_DBSLMM_1,0.0859560211201065,0.0357881141276965,0.0165489088855893,777,48.5192455213757
AFR,EAS,yengo_afr_ldeas,quickprs,yengo_afr_ldeas_quickprs,0.120177782006088,0.0356607184396012,0.000788782137565152,777,52.9675401497609
AFR,CSA,yengo_afr_ldcsa,ptclump,yengo_afr_ldcsa_0_0.01,0.13601993807485,0.035587213659677,0.000142895485595219,777,95.02947823539
AFR,CSA,yengo_afr_ldcsa,dbslmm,yengo_afr_ldcsa_DBSLMM_1,0.119402033918586,0.0356640806793705,0.000853370891363698,777,67.3983802874324
AFR,CSA,yengo_afr_ldcsa,quickprs,yengo_afr_ldcsa_quickprs,0.185596872853584,0.0352969668949499,1.88366690683089e-07,777,81.8005595580414
AFR,AMR,yengo_afr_ldamr,ptclump,yengo_afr_ldamr_0_0.01,0.151985276200215,0.0355037567447645,2.09548797733314e-05,777,106.183561771806
AFR,AMR,yengo_afr_ldamr,dbslmm,yengo_afr_ldamr_DBSLMM_1,0.154157631038677,0.0354916696231037,1.58876584809909e-05,777,87.0167307873399
AFR,AMR,yengo_afr_ldamr,quickprs,yengo_afr_ldamr_quickprs,0.131055056949156,0.0356112445461616,0.000249228402539551,777,57.7616251099725
AFR,AFR,yengo_afr_ldafr,ptclump,yengo_afr_ldafr_0_0.01,0.143134467957327,0.035551190245173,6.22687519537535e-05,777,100
AFR,AFR,yengo_afr_ldafr,dbslmm,yengo_afr_ldafr_DBSLMM_1,0.177158610354396,0.0353528723435374,6.7071443133908e-07,777,100
AFR,AFR,yengo_afr_ldafr,quickprs,yengo_afr_ldafr_quickprs,0.226889490556473,0.0349842574563792,1.57508977876305e-10,777,100
