trait,delta,candidate,mean,sd,lo95,hi95
HF,0.001,EUR,0.828324557065173,0.0169774492764598,0.79546684460814,0.860763831210378
HF,0.001,EAS,0.698096552952616,0.0198199806530899,0.6592255726356,0.736444800487714
HF,0.001,AFR,0.607342977409679,0.0267494914881357,0.552848630557519,0.657476723035045
HF,0.001,CSA,0.796558142292971,0.0180706667866816,0.761150537507112,0.830375395800353
HF,0.001,AMR,0.746022311892084,0.024570969006686,0.696518969004055,0.790947300293347
HF,0.01,MELD_lambda0_afproj,0.902148811312133,0.0101806456036048,0.881120157178025,0.921483632389327
HF,0.01,MELD_lambda0_reportN,0.901743180918878,0.00978713716327289,0.88151065684305,0.91910960179427
HF,0.01,MELD_lambda0_equal,0.887417852847001,0.0105847522162191,0.865558707382341,0.907654466343985
HF,0.01,MELD_lambda1_afproj,0.90082900767583,0.0101168772953548,0.879238386456508,0.918392874060837
HF,0.01,EUR,0.870633820240153,0.0116904949154576,0.847704743752854,0.893462837305114
HF,0.01,EAS,0.792493841480764,0.0187684025415309,0.752273642749891,0.824598367011354
HF,0.01,AFR,0.674826264389945,0.0212987734019187,0.63161418461937,0.715997381386622
HF,0.01,CSA,0.847001605613327,0.0148232263294056,0.815582636918599,0.874247250698448
HF,0.01,AMR,0.814629368522347,0.0172831983312062,0.779851357408809,0.847669417275841
HF,0.1,MELD_lambda0_afproj,0.8941766393976,0.00975821635674147,0.875389693215426,0.912191579894933
HF,0.1,MELD_lambda0_reportN,0.893939869372985,0.00980599307043961,0.87531950892973,0.912611104442989
HF,0.1,MELD_lambda0_equal,0.882183062537809,0.010834998696583,0.859081132203669,0.902075916484893
HF,0.1,MELD_lambda1_afproj,0.892644514191847,0.00989400867732376,0.872146852906956,0.911420193956569
HF,0.1,EUR,0.872563917367733,0.0109604473122667,0.849996434525419,0.892630727688282
HF,0.1,EAS,0.803382464318178,0.0149039373651585,0.771429547485414,0.830286803257162
HF,0.1,AFR,0.696895760355855,0.0193806945712029,0.658412304184905,0.73292885309246
