chr,block_id,m,w_eur,candidate,min_eig_pre,min_eig_post,r2_pre,r2_post
22,5,417,0.25,MELD_lambda1,-0.0135850578151648,-1.31979268687399e-15,0.427009816096068,0.534473386975632
22,5,417,0.25,EUR,-0.104272549620969,-3.22733364129902e-15,0.0295629615710961,0.160693173401256
22,5,417,0.25,AFR,-0.0217531256821907,-7.72963268374347e-16,0.496893655134205,0.51482354948684
22,6,480,0.75,MELD_lambda0,-0.0108589865743841,-1.41886415659782e-15,0.495423334035834,0.891604681981643
22,6,480,0.75,MELD_lambda1,-0.010299151858448,-1.09093438130985e-15,0.866700043507696,0.882165731562168
22,6,480,0.75,EUR,-0.0251101431568857,-4.61589095868317e-15,0.76258922338258,0.775562075344866
22,6,480,0.75,AFR,-0.0539193292765614,-1.51914665665441e-15,0.750379666780965,0.757327715814577
22,6,480,0.5,MELD_lambda0,-0.0233714747413014,-1.98563725661979e-15,0.816836536992312,0.817840794527809
22,6,480,0.5,MELD_lambda1,-0.0222028837550063,-1.37147981972104e-15,0.802690084509139,0.803670118212483
22,6,480,0.5,EUR,-0.0251101431568857,-4.61589095868317e-15,0.536619330003612,0.530237545102741
22,6,480,0.5,AFR,-0.0539193292765614,-1.51914665665441e-15,0.719327183492018,0.73954486669949
22,6,480,0.5,MELD_pooled,-0.0266511460257735,-1.77440965288277e-15,0.808620317416923,0.816991906126449
22,6,480,0.25,MELD_lambda0,-0.0368029439799198,-1.96096384347852e-15,0.778811618284094,0.785091670974834
22,6,480,0.25,MELD_lambda1,-0.0355488385900292,-1.22219198866308e-15,0.775104011944152,0.779441130755736
22,6,480,0.25,EUR,-0.0251101431568857,-4.61589095868317e-15,0.400497696107404,0.383376868660905
22,6,480,0.25,AFR,-0.0539193292765614,-1.51914665665441e-15,0.731410566595922,0.758689383485502
22,7,948,0.75,MELD_lambda0,-0.0910859738153868,-1.87760460225067e-15,0.605292430303218,0.765282379471567
22,7,948,0.75,MELD_lambda1,-0.0871432690216713,-2.39129379034878e-15,0.714980232509906,0.764157164923495
22,7,948,0.75,EUR,-0.136957193731329,-4.00111963200717e-15,0.0841724805307549,0.570287997087904
22,7,948,0.75,AFR,-0.17970378313449,-2.74419439281624e-15,0.306866312322414,0.506577024377736
22,7,948,0.5,MELD_lambda0,-0.106125795975751,-2.0990660190791e-15,0.650478405502573,0.654621977405794
22,7,948,0.5,MELD_lambda1,-0.100511925680309,-3.05304907061304e-15,0.0130879890754696,0.671579241216699
22,7,948,0.5,EUR,-0.136957193731329,-4.00111963200717e-15,0.0739169651021404,0.362772648655843
22,7,948,0.5,AFR,-0.17970378313449,-2.74419439281624e-15,0.217519123675544,0.50372985153897
22,7,948,0.5,MELD_pooled,-0.0951672833815531,-3.13312591756998e-15,0.630084675892091,0.662793475578034
22,7,948,0.25,MELD_lambda0,-0.130938438788909,-2.37664473643662e-15,0.578533511050687,0.608403812555837
22,7,948,0.25,MELD_lambda1,-0.12567071267977,-3.3189010321575e-15,0.598738914512718,0.632739706641908
22,7,948,0.25,EUR,-0.136957193731329,-4.00111963200717e-15,0.0797056849228208,0.326182216183295
22,7,948,0.25,AFR,-0.17970378313449,-2.74419439281624e-15,0.184366345073272,0.499457513758061
22,8,863,0.75,MELD_lambda0,-0.200127840683511,-1.67013702195916e-15,0.722935586838851,0.823694757954628
22,8,863,0.75,MELD_lambda1,-0.185089899353944,-1.92849612292518e-15,0.744819397865869,0.826189167824767
22,8,863,0.75,EUR,-0.284197606281297,-3.50913464927219e-15,0.384266724810821,0.481712451225919
22,8,863,0.75,AFR,-0.226367032983436,-2.77204954857132e-15,0.0931871290003496,0.476850128358721
22,8,863,0.5,MELD_lambda0,-0.170248483302289,-1.46075314316551e-15,0.553947143555403,0.797157325550786
22,8,863,0.5,MELD_lambda1,-0.15419622257988,-2.33004128628394e-15,0.637541062848735,0.804113179660484
22,8,863,0.5,EUR,-0.284197606281297,-3.50913464927219e-15,0.329522321894251,0.413740293093842
22,8,863,0.5,AFR,-0.226367032983436,-2.77204954857132e-15,0.0485836105768191,0.629909486153693
22,8,863,0.5,MELD_pooled,-0.179977418069216,-2.32228855964808e-15,0.737072045155191,0.794754631123805
22,8,863,0.25,MELD_lambda0,-0.169218169802904,-2.05029777241886e-15,0.250681179377633,0.788193473518415
22,8,863,0.25,MELD_lambda1,-0.156908770617217,-1.73899202234266e-15,0.0663505004453722,0.804556469343914
22,8,863,0.25,EUR,-0.284197606281297,-3.50913464927219e-15,0.343986991412062,0.424656066276952
22,8,863,0.25,AFR,-0.226367032983436,-2.77204954857132e-15,0.0512337690933245,0.704050752396003
22,9,733,0.75,MELD_lambda0,-0.0227658334594017,-2.48317012216098e-15,0.930018703618549,0.936450522531101
22,9,733,0.75,MELD_lambda1,-0.0196208609008155,-2.11513128801282e-15,0.932368805567266,0.936855291073714
22,9,733,0.75,EUR,-0.0561372158557853,-3.48173816253616e-15,0.827519093810503,0.867292028226253
22,9,733,0.75,AFR,-0.0520760085285133,-1.805917064742e-15,0.302002518750154,0.319512212768203
22,9,733,0.5,MELD_lambda0,-0.0275349876328333,-2.17885888860512e-15,0.888450070506664,0.889620874978355
22,9,733,0.5,MELD_lambda1,-0.0240324219186079,-2.2473326892765e-15,0.88935211163346,0.894337438861991
22,9,733,0.5,EUR,-0.0561372158557853,-3.48173816253616e-15,0.643730885542396,0.745357430285403
22,9,733,0.5,AFR,-0.0520760085285133,-1.805917064742e-15,0.385228389522303,0.429020103679915
22,9,733,0.5,MELD_pooled,-0.0491777093848442,-2.16805871189202e-15,0.882628768444057,0.888495940864091
22,9,733,0.25,MELD_lambda0,-0.0350232805191411,-1.85988930829061e-15,0.803603140500106,0.799068370087679
22,9,733,0.25,MELD_lambda1,-0.0320037677939823,-2.25645447750849e-15,0.81517832827883,0.814929221463355
22,9,733,0.25,EUR,-0.0561372158557853,-3.48173816253616e-15,0.541829585118799,0.671793415220021
22,9,733,0.25,AFR,-0.0520760085285133,-1.805917064742e-15,0.469316369983392,0.527671781448859
22,10,689,0.75,MELD_lambda0,-0.0446399828622194,-2.59337172540774e-15,0.944289861028836,0.981518538308103
22,10,689,0.75,MELD_lambda1,-0.0424907671546192,-2.84853104577189e-15,0.97246016430709,0.981306337188858
22,10,689,0.75,EUR,-0.0450586821099729,-4.23742108187151e-15,0.945268064391468,0.945828610059869
22,10,689,0.75,AFR,-0.145131179040311,-2.08362460306351e-15,0.823697108934593,0.817607879977958
22,10,689,0.5,MELD_lambda0,-0.0674863953269878,-2.20652678422379e-15,0.831673808346463,0.947140175902776
22,10,689,0.5,MELD_lambda1,-0.0640529592332257,-2.04093995360358e-15,0.926428507253927,0.946502957036493
22,10,689,0.5,EUR,-0.0450586821099729,-4.23742108187151e-15,0.832393719307371,0.832745349241823
22,10,689,0.5,AFR,-0.145131179040311,-2.08362460306351e-15,0.841711681942762,0.839806140993382
22,10,689,0.5,MELD_pooled,-0.067234083392056,-3.00550161164576e-15,0.931290656746937,0.944473470350034
22,10,689,0.25,MELD_lambda0,-0.0993499473050182,-2.37015454005824e-15,0.923397004495671,0.907461988873915
22,10,689,0.25,MELD_lambda1,-0.0956503854049593,-2.08160231335252e-15,0.927604386750213,0.905900721283486
22,10,689,0.25,EUR,-0.0450586821099729,-4.23742108187151e-15,0.713710854945096,0.715032482313985
22,10,689,0.25,AFR,-0.145131179040311,-2.08362460306351e-15,0.854932925844981,0.856350304260827
22,11,437,0.75,MELD_lambda0,-0.0881117880136106,-2.93533129773975e-15,0.932556108880462,0.919052252144413
22,11,437,0.75,MELD_lambda1,-0.0767403210476119,-2.8684269492325e-15,0.925583079164648,0.918018732348353
22,11,437,0.75,EUR,-0.175770846103575,-4.42956352197724e-15,0.81440453837402,0.811408833440555
22,11,437,0.75,AFR,-0.0577350606562911,-1.60098302492612e-15,0.747130279267561,0.713819008352937
22,11,437,0.5,MELD_lambda0,-0.0612766263278852,-1.75182349636165e-15,0.151206775185009,0.933178902268728
22,11,437,0.5,MELD_lambda1,-0.0496259818450274,-2.19666125375009e-15,0.917523217119015,0.932731677731148
22,11,437,0.5,EUR,-0.175770846103575,-4.42956352197724e-15,0.62378876864631,0.615482049632804
22,11,437,0.5,AFR,-0.0577350606562911,-1.60098302492612e-15,0.839878592092902,0.814220742924784
22,11,437,0.5,MELD_pooled,-0.0632263897921635,-1.82414267914767e-15,0.890307148605193,0.929265203387336
22,11,437,0.25,MELD_lambda0,-0.044919901071605,-1.64643984825876e-15,0.0279980183852622,0.936139458901417
22,11,437,0.25,MELD_lambda1,-0.0383380759048507,-2.8292770277293e-15,0.890909417602675,0.937986507931642
22,11,437,0.25,EUR,-0.175770846103575,-4.42956352197724e-15,0.546555078819997,0.537423535225693
22,11,437,0.25,AFR,-0.0577350606562911,-1.60098302492612e-15,0.884676884882587,0.867688237515135
22,12,1159,0.75,MELD_lambda0,-0.0816283394308233,-3.28927507847222e-15,0.913000357032878,0.921684646719027
22,12,1159,0.75,MELD_lambda1,-0.0752047556046328,-3.16869095996496e-15,0.906123097923299,0.905131715759623
22,12,1159,0.75,EUR,-0.125934740782806,-4.86413316888627e-15,0.739250756657652,0.83363564602044
22,12,1159,0.75,AFR,-0.158802080402799,-8.82237088374529e-15,0.314186070941178,0.660636325443415
22,12,1159,0.5,MELD_lambda0,-0.0573740952449312,-3.47013697953589e-15,0.124020631277659,0.821827467186617
22,12,1159,0.5,MELD_lambda1,-0.0500938034449173,-3.24640669227974e-15,0.815692457472013,0.817325136421791
22,12,1159,0.5,EUR,-0.125934740782806,-4.86413316888627e-15,0.471081128017002,0.621774525569569
22,12,1159,0.5,AFR,-0.158802080402799,-8.82237088374529e-15,0.415542283663075,0.630722419929692
22,12,1159,0.5,MELD_pooled,-0.0954563976066203,-3.87857377375214e-15,0.695806068506517,0.810802443026877
22,12,1159,0.25,MELD_lambda0,-0.0466302915151903,-2.91393086061055e-15,0.0747555828886747,0.749068166875276
22,12,1159,0.25,MELD_lambda1,-0.0385028738422922,-3.73945970222296e-15,0.252211689078358,0.76205876621285
