trait,sweep_kind,sweep_id,pop,w
COPD,EUR_AFR,EUR_AFR_01,EAS,0
COPD,EUR_AFR,EUR_AFR_01,AFR,1
COPD,EUR_AFR,EUR_AFR_01,AMR,0
COPD,EUR_AFR,EUR_AFR_02,EUR,0.1
COPD,EUR_AFR,EUR_AFR_02,EAS,0
COPD,EUR_AFR,EUR_AFR_02,AFR,0.9
COPD,EUR_AFR,EUR_AFR_02,AMR,0
COPD,EUR_AFR,EUR_AFR_03,EUR,0.2
COPD,EUR_AFR,EUR_AFR_03,EAS,0
COPD,EUR_AFR,EUR_AFR_03,AFR,0.8
COPD,EUR_AFR,EUR_AFR_03,AMR,0
COPD,EUR_AFR,EUR_AFR_04,EUR,0.3
COPD,EUR_AFR,EUR_AFR_04,EAS,0
COPD,EUR_AFR,EUR_AFR_04,AFR,0.7
COPD,EUR_AFR,EUR_AFR_04,AMR,0
COPD,EUR_AFR,EUR_AFR_05,EUR,0.4
COPD,EUR_AFR,EUR_AFR_05,EAS,0
COPD,EUR_AFR,EUR_AFR_05,AFR,0.6
COPD,EUR_AFR,EUR_AFR_05,AMR,0
COPD,EUR_AFR,EUR_AFR_06,EUR,0.5
COPD,EUR_AFR,EUR_AFR_06,EAS,0
COPD,EUR_AFR,EUR_AFR_06,AFR,0.5
COPD,EUR_AFR,EUR_AFR_06,AMR,0
COPD,EUR_AFR,EUR_AFR_07,EUR,0.6
COPD,EUR_AFR,EUR_AFR_07,EAS,0
COPD,EUR_AFR,EUR_AFR_07,AFR,0.4
COPD,EUR_AFR,EUR_AFR_07,AMR,0
COPD,EUR_AFR,EUR_AFR_08,EUR,0.7
COPD,EUR_AFR,EUR_AFR_08,EAS,0
COPD,EUR_AFR,EUR_AFR_08,AFR,0.3
COPD,EUR_AFR,EUR_AFR_08,AMR,0
COPD,EUR_AFR,EUR_AFR_09,EUR,0.8
COPD,EUR_AFR,EUR_AFR_09,EAS,0
COPD,EUR_AFR,EUR_AFR_09,AFR,0.2
COPD,EUR_AFR,EUR_AFR_09,AMR,0
COPD,EUR_AFR,EUR_AFR_10,EUR,0.9
COPD,EUR_AFR,EUR_AFR_10,EAS,0
COPD,EUR_AFR,EUR_AFR_10,AFR,0.1
COPD,EUR_AFR,EUR_AFR_10,AMR,0
COPD,EUR_AFR,EUR_AFR_11,EUR,1
COPD,EUR_AFR,EUR_AFR_11,EAS,0
COPD,EUR_AFR,EUR_AFR_11,AFR,0
COPD,EUR_AFR,EUR_AFR_11,AMR,0
COPD,multi,equal,EUR,0.25
COPD,multi,equal,EAS,0.25
COPD,multi,equal,AFR,0.25
COPD,multi,equal,AMR,0.25
COPD,multi,reported,EUR,0.726724984639723
COPD,multi,reported,EAS,0.24060761023279
COPD,multi,reported,AFR,0.0216590850382876
COPD,multi,reported,AMR,0.0110083200891991
COPD,multi,w50rest,EUR,0.5
COPD,multi,w50rest,EAS,0.166666666666667
COPD,multi,w50rest,AFR,0.166666666666667
COPD,multi,w50rest,AMR,0.166666666666667
COPD,multi,w25rest,EUR,0.25
COPD,multi,w25rest,EAS,0.25
COPD,multi,w25rest,AFR,0.25
COPD,multi,w25rest,AMR,0.25
Gout,EUR_EAS,EUR_EAS_01,EUR,0
Gout,EUR_EAS,EUR_EAS_01,EAS,1
Gout,EUR_EAS,EUR_EAS_01,AFR,0
Gout,EUR_EAS,EUR_EAS_01,AMR,0
Gout,EUR_EAS,EUR_EAS_02,EUR,0.1
Gout,EUR_EAS,EUR_EAS_02,EAS,0.9
Gout,EUR_EAS,EUR_EAS_02,AFR,0
Gout,EUR_EAS,EUR_EAS_02,AMR,0
Gout,EUR_EAS,EUR_EAS_03,EUR,0.2
Gout,EUR_EAS,EUR_EAS_03,EAS,0.8
Gout,EUR_EAS,EUR_EAS_03,AFR,0
Gout,EUR_EAS,EUR_EAS_03,AMR,0
Gout,EUR_EAS,EUR_EAS_04,EUR,0.3
Gout,EUR_EAS,EUR_EAS_04,EAS,0.7
Gout,EUR_EAS,EUR_EAS_04,AFR,0
Gout,EUR_EAS,EUR_EAS_04,AMR,0
Gout,EUR_EAS,EUR_EAS_05,EUR,0.4
Gout,EUR_EAS,EUR_EAS_05,EAS,0.6
Gout,EUR_EAS,EUR_EAS_05,AFR,0
Gout,EUR_EAS,EUR_EAS_05,AMR,0
Gout,EUR_EAS,EUR_EAS_06,EUR,0.5
Gout,EUR_EAS,EUR_EAS_06,EAS,0.5
Gout,EUR_EAS,EUR_EAS_06,AFR,0
Gout,EUR_EAS,EUR_EAS_06,AMR,0
Gout,EUR_EAS,EUR_EAS_07,EUR,0.6
Gout,EUR_EAS,EUR_EAS_07,EAS,0.4
Gout,EUR_EAS,EUR_EAS_07,AFR,0
Gout,EUR_EAS,EUR_EAS_07,AMR,0
Gout,EUR_EAS,EUR_EAS_08,EUR,0.7
Gout,EUR_EAS,EUR_EAS_08,EAS,0.3
Gout,EUR_EAS,EUR_EAS_08,AFR,0
Gout,EUR_EAS,EUR_EAS_08,AMR,0
Gout,EUR_EAS,EUR_EAS_09,EUR,0.8
Gout,EUR_EAS,EUR_EAS_09,EAS,0.2
Gout,EUR_EAS,EUR_EAS_09,AFR,0
Gout,EUR_EAS,EUR_EAS_09,AMR,0
Gout,EUR_EAS,EUR_EAS_10,EUR,0.9
Gout,EUR_EAS,EUR_EAS_10,EAS,0.1
Gout,EUR_EAS,EUR_EAS_10,AFR,0
Gout,EUR_EAS,EUR_EAS_10,AMR,0
Gout,EUR_EAS,EUR_EAS_11,EUR,1
Gout,EUR_EAS,EUR_EAS_11,EAS,0
Gout,EUR_EAS,EUR_EAS_11,AFR,0
Gout,EUR_EAS,EUR_EAS_11,AMR,0
Gout,EUR_AFR,EUR_AFR_01,EUR,0
Gout,EUR_AFR,EUR_AFR_01,EAS,0
Gout,EUR_AFR,EUR_AFR_01,AFR,1
Gout,EUR_AFR,EUR_AFR_01,AMR,0
Gout,EUR_AFR,EUR_AFR_02,EUR,0.1
Gout,EUR_AFR,EUR_AFR_02,EAS,0
Gout,EUR_AFR,EUR_AFR_02,AFR,0.9
Gout,EUR_AFR,EUR_AFR_02,AMR,0
Gout,EUR_AFR,EUR_AFR_03,EUR,0.2
Gout,EUR_AFR,EUR_AFR_03,EAS,0
Gout,EUR_AFR,EUR_AFR_03,AFR,0.8
Gout,EUR_AFR,EUR_AFR_03,AMR,0
Gout,EUR_AFR,EUR_AFR_04,EUR,0.3
Gout,EUR_AFR,EUR_AFR_04,EAS,0
Gout,EUR_AFR,EUR_AFR_04,AFR,0.7
Gout,EUR_AFR,EUR_AFR_04,AMR,0
Gout,EUR_AFR,EUR_AFR_05,EUR,0.4
Gout,EUR_AFR,EUR_AFR_05,EAS,0
Gout,EUR_AFR,EUR_AFR_05,AFR,0.6
Gout,EUR_AFR,EUR_AFR_05,AMR,0
