gwas_pop,ld_pop,gwas,pgs_method,model,r,se,p,n
EAS,EUR,yengo_eas_ldeur,ptclump,yengo_eas_ldeur_0_1,0.207264561072926,0.035141032017512,5.49051651043554e-09,777
EAS,EUR,yengo_eas_ldeur,dbslmm,yengo_eas_ldeur_DBSLMM_0.8,0.234776106209817,0.0349170478734581,3.4346104629043e-11,777
EAS,EUR,yengo_eas_ldeur,dbslmm,yengo_eas_ldeur_DBSLMM_1,0.235110773112951,0.0349141421455959,3.21569181955738e-11,777
EAS,EUR,yengo_eas_ldeur,dbslmm,yengo_eas_ldeur_DBSLMM_1.2,0.234536086244624,0.0349191291368528,3.6005130105171e-11,777
EAS,EUR,yengo_eas_ldeur,quickprs,yengo_eas_ldeur_quickprs,0.15232282196502,0.035501890143386,2.0077594685006e-05,777
EAS,EAS,yengo_eas_ldeas,ptclump,yengo_eas_ldeas_0_5e-08,0.197775742085348,0.0352115222315282,2.71218459802153e-08,777
EAS,EAS,yengo_eas_ldeas,ptclump,yengo_eas_ldeas_0_1e-06,0.225320736110536,0.0349973375186135,2.11836136110197e-10,777
EAS,EAS,yengo_eas_ldeas,ptclump,yengo_eas_ldeas_0_1e-04,0.220480603595222,0.0350370919296695,5.21320095183114e-10,777
EAS,EAS,yengo_eas_ldeas,ptclump,yengo_eas_ldeas_0_0.01,0.265019335313627,0.0346366345662699,5.90650685493166e-14,777
EAS,EAS,yengo_eas_ldeas,ptclump,yengo_eas_ldeas_0_0.1,0.228501484908547,0.0349707171768608,1.15897421931036e-10,777
EAS,EAS,yengo_eas_ldeas,ptclump,yengo_eas_ldeas_0_0.2,0.219178894604399,0.0350476286466693,6.61847446264776e-10,777
EAS,EAS,yengo_eas_ldeas,ptclump,yengo_eas_ldeas_0_0.3,0.216893341172041,0.0350659706112632,1.00274573836997e-09,777
EAS,EAS,yengo_eas_ldeas,ptclump,yengo_eas_ldeas_0_0.4,0.211841181327784,0.0351057997945868,2.47171349512168e-09,777
EAS,EAS,yengo_eas_ldeas,ptclump,yengo_eas_ldeas_0_0.5,0.20973886616622,0.0351220840005408,3.57434866221387e-09,777
EAS,EAS,yengo_eas_ldeas,ptclump,yengo_eas_ldeas_0_1,0.202535733540632,0.035176591861894,1.22889265277019e-08,777
EAS,EAS,yengo_eas_ldeas,dbslmm,yengo_eas_ldeas_DBSLMM_0.8,0.295159296917017,0.0343207073662619,4.38438748708272e-17,777
EAS,EAS,yengo_eas_ldeas,dbslmm,yengo_eas_ldeas_DBSLMM_1,0.29193140185601,0.0343563124051158,9.89790414582305e-17,777
EAS,EAS,yengo_eas_ldeas,dbslmm,yengo_eas_ldeas_DBSLMM_1.2,0.288308966018187,0.0343957600559124,2.43806563535624e-16,777
EAS,EAS,yengo_eas_ldeas,quickprs,yengo_eas_ldeas_quickprs,0.283828593846587,0.034443807989153,7.30281455463696e-16,777
EAS,CSA,yengo_eas_ldcsa,ptclump,yengo_eas_ldcsa_0_5e-08,0.185710831426711,0.0352961934727464,1.85088501531289e-07,777
EAS,CSA,yengo_eas_ldcsa,ptclump,yengo_eas_ldcsa_0_1e-06,0.214877956364264,0.0350819770632915,1.4409462655818e-09,777
EAS,CSA,yengo_eas_ldcsa,ptclump,yengo_eas_ldcsa_0_1e-04,0.205970995805956,0.0351508445066577,6.85737719845016e-09,777
EAS,CSA,yengo_eas_ldcsa,ptclump,yengo_eas_ldcsa_0_0.01,0.234494230541212,0.0349194918457445,3.63023443375808e-11,777
EAS,CSA,yengo_eas_ldcsa,ptclump,yengo_eas_ldcsa_0_0.1,0.195979819693875,0.0352244766489249,3.63795518668904e-08,777
EAS,CSA,yengo_eas_ldcsa,ptclump,yengo_eas_ldcsa_0_0.2,0.196425477511324,0.0352212734796503,3.38313849197513e-08,777
EAS,CSA,yengo_eas_ldcsa,ptclump,yengo_eas_ldcsa_0_0.3,0.200207230115355,0.0351937873001534,1.81445792304701e-08,777
EAS,CSA,yengo_eas_ldcsa,ptclump,yengo_eas_ldcsa_0_0.4,0.190095965406149,0.0352660583223477,9.34098249980784e-08,777
EAS,CSA,yengo_eas_ldcsa,ptclump,yengo_eas_ldcsa_0_0.5,0.193373620902899,0.0352430572936718,5.54401750738627e-08,777
EAS,CSA,yengo_eas_ldcsa,ptclump,yengo_eas_ldcsa_0_1,0.193682702436773,0.0352408672365331,5.27540901261283e-08,777
EAS,CSA,yengo_eas_ldcsa,dbslmm,yengo_eas_ldcsa_DBSLMM_0.8,0.251055749163006,0.0347706032829588,1.23970421758304e-12,777
EAS,CSA,yengo_eas_ldcsa,dbslmm,yengo_eas_ldcsa_DBSLMM_1,0.247634555855084,0.0348022455105425,2.54218782065433e-12,777
EAS,CSA,yengo_eas_ldcsa,dbslmm,yengo_eas_ldcsa_DBSLMM_1.2,0.243943722846511,0.0348358632424983,5.4505620900982e-12,777
EAS,CSA,yengo_eas_ldcsa,quickprs,yengo_eas_ldcsa_quickprs,0.169624327557199,0.0354005210003718,1.98330822868205e-06,777
EAS,AMR,yengo_eas_ldamr,ptclump,yengo_eas_ldamr_0_5e-08,0.195170239053742,0.0352302761617866,4.14916973249068e-08,777
EAS,AMR,yengo_eas_ldamr,ptclump,yengo_eas_ldamr_0_1e-06,0.210001185107634,0.0351200613977968,3.41427709403544e-09,777
EAS,AMR,yengo_eas_ldamr,ptclump,yengo_eas_ldamr_0_1e-04,0.232649635916379,0.0349354085449683,5.20714146233279e-11,777
EAS,AMR,yengo_eas_ldamr,ptclump,yengo_eas_ldamr_0_0.01,0.239580839276386,0.0348749105019385,1.32136105737136e-11,777
EAS,AMR,yengo_eas_ldamr,ptclump,yengo_eas_ldamr_0_0.1,0.202040606024271,0.0351802656102747,1.33557371859982e-08,777
EAS,AMR,yengo_eas_ldamr,ptclump,yengo_eas_ldamr_0_0.2,0.204336654654841,0.035163150278417,9.06237688948702e-09,777
EAS,AMR,yengo_eas_ldamr,ptclump,yengo_eas_ldamr_0_0.3,0.20700445710986,0.0351430102211255,5.74217324761282e-09,777
EAS,AMR,yengo_eas_ldamr,ptclump,yengo_eas_ldamr_0_0.4,0.199875202706628,0.0351962223658969,1.91740721506703e-08,777
EAS,AMR,yengo_eas_ldamr,ptclump,yengo_eas_ldamr_0_0.5,0.202006015599066,0.03518052191404,1.34335324931967e-08,777
EAS,AMR,yengo_eas_ldamr,ptclump,yengo_eas_ldamr_0_1,0.206252303946464,0.0351487160710175,6.5345543092329e-09,777
EAS,AMR,yengo_eas_ldamr,dbslmm,yengo_eas_ldamr_DBSLMM_0.8,0.253104665531199,0.0347514312220716,8.02200850590024e-13,777
