trait,delta,candidate,mean,sd,lo95,hi95,source
Asthma,0.01,MELD_lambda1_afproj,0.915544249905104,0.00957264232973486,0.896893257985436,0.933523602923028,R8_1KG_original_blocks
Asthma,0.01,EUR,0.889351596499258,0.0122882609593317,0.864325483950427,0.912252175850538,R8_1KG_original_blocks
Asthma,0.01,EAS,0.75753622925496,0.0168067011105202,0.725621912561207,0.792096720337838,R8_1KG_original_blocks
Asthma,0.01,AFR,0.622151408375433,0.0327722709182718,0.558325831463601,0.685420383398399,R8_1KG_original_blocks
Asthma,0.01,CSA,0.835472932820091,0.0169831919897815,0.801850073192393,0.867108688487131,R8_1KG_original_blocks
Asthma,0.01,AMR,0.811857859916206,0.0184210986397663,0.778988105230926,0.850438807542696,R8_1KG_original_blocks
COPD,0.01,MELD_lambda0_afproj,0.885654194551982,0.0109889462372101,0.862907336823044,0.906724601603957,R8_1KG_original_blocks
COPD,0.01,MELD_lambda0_reportN,0.884846711215566,0.0106364842324622,0.862969398721,0.906242548655898,R8_1KG_original_blocks
COPD,0.01,MELD_lambda0_equal,0.879237652777398,0.0107213737524945,0.857285156138602,0.899940833677748,R8_1KG_original_blocks
COPD,0.01,MELD_lambda1_afproj,0.88299877551661,0.011096155994172,0.86105338214309,0.905249147104692,R8_1KG_original_blocks
COPD,0.01,EUR,0.845003839977431,0.0138176515958799,0.818588658604539,0.872010278249609,R8_1KG_original_blocks
COPD,0.01,EAS,0.751848477215244,0.0183502608947186,0.719197112203329,0.790462480661903,R8_1KG_original_blocks
COPD,0.01,AFR,0.588700402232132,0.0312373169201315,0.52845076638709,0.646569150420119,R8_1KG_original_blocks
COPD,0.01,CSA,0.808800450172374,0.0170381382962838,0.774349708301572,0.841346663886283,R8_1KG_original_blocks
COPD,0.01,AMR,0.761408800365991,0.0251050225981026,0.714066886518792,0.811778565459865,R8_1KG_original_blocks
Gout,0.01,MELD_lambda0_afproj,0.888827800136551,0.0104360442852906,0.86813001515197,0.908568683173258,R8_1KG_original_blocks
Gout,0.01,MELD_lambda0_reportN,0.887281832472553,0.0107151039259527,0.866450085139748,0.907662614249556,R8_1KG_original_blocks
Gout,0.01,MELD_lambda0_equal,0.877777993419736,0.0112787155334049,0.854141114127809,0.898889006043282,R8_1KG_original_blocks
Gout,0.01,MELD_lambda1_afproj,0.886632384728283,0.0107001881821574,0.865199951460775,0.906521139774241,R8_1KG_original_blocks
Gout,0.01,EUR,0.837007975035653,0.0132117426641278,0.810806975368023,0.862143617272498,R8_1KG_original_blocks
Gout,0.01,EAS,0.761026746450194,0.0170651790313477,0.728357331737602,0.79542246778529,R8_1KG_original_blocks
Gout,0.01,AFR,0.572698175984929,0.0337540193780791,0.505050210907642,0.63829192040198,R8_1KG_original_blocks
Gout,0.01,CSA,0.798250535396742,0.0179416095715685,0.763929447034441,0.833378083483864,R8_1KG_original_blocks
Gout,0.01,AMR,0.766186781928973,0.0224702815434769,0.721323939908661,0.810536533320655,R8_1KG_original_blocks
HF,0.01,MELD_lambda0_afproj,0.89916447659051,0.0110826622359389,0.876637234060006,0.920517122335397,R8_1KG_original_blocks
HF,0.01,MELD_lambda0_reportN,0.899145465126636,0.0105627519923328,0.878344002754668,0.919581813759052,R8_1KG_original_blocks
HF,0.01,MELD_lambda0_equal,0.891365723267914,0.010545837694586,0.870574006908398,0.911063669283982,R8_1KG_original_blocks
HF,0.01,MELD_lambda1_afproj,0.898578851563135,0.0108150274287858,0.877075461113279,0.919848520042449,R8_1KG_original_blocks
HF,0.01,EUR,0.859529062567692,0.0137090995247833,0.831605419377152,0.886208692018353,R8_1KG_original_blocks
HF,0.01,EAS,0.762317167486371,0.0147465291147987,0.733095545527075,0.790899119543262,R8_1KG_original_blocks
HF,0.01,AFR,0.630250234567741,0.0283104993559131,0.575041842462363,0.683688335570446,R8_1KG_original_blocks
HF,0.01,CSA,0.823925271251695,0.0148955858944297,0.794666900020404,0.852762592197085,R8_1KG_original_blocks
HF,0.01,AMR,0.798486560120726,0.018581682982734,0.763976963298945,0.834158456595354,R8_1KG_original_blocks
IPF,0.01,MELD_lambda0_afproj,0.874887859065523,0.0103629873961162,0.854345103854532,0.894873574232343,R8_1KG_original_blocks
IPF,0.01,MELD_lambda0_reportN,0.874230174178535,0.0102733431626726,0.85382448485745,0.895343189531597,R8_1KG_original_blocks
IPF,0.01,MELD_lambda0_equal,0.868071169047952,0.00993948092443218,0.848029894655394,0.887609827449692,R8_1KG_original_blocks
IPF,0.01,MELD_lambda1_afproj,0.87117725539443,0.010602535257489,0.850891124030856,0.892835930763766,R8_1KG_original_blocks
IPF,0.01,EUR,0.83835978237031,0.0128947203938044,0.81323794706844,0.863945871809164,R8_1KG_original_blocks
IPF,0.01,EAS,0.750662205613408,0.017367238793299,0.717466920189883,0.785844751418473,R8_1KG_original_blocks
IPF,0.01,AFR,0.580926050475635,0.0265503789179197,0.532448655813855,0.634315338242469,R8_1KG_original_blocks
IPF,0.01,CSA,0.793647232847254,0.0179383088364299,0.758345449556189,0.827711654867531,R8_1KG_original_blocks
IPF,0.01,AMR,0.76936982064362,0.0205116812152337,0.731649823779971,0.812352862427213,R8_1KG_original_blocks
Stroke,0.01,MELD_lambda0_afproj,0.901965264095045,0.0089606082864118,0.884438864541109,0.918472269856749,R8_1KG_original_blocks
Stroke,0.01,MELD_lambda0_reportN,0.901990318503007,0.00883746994761308,0.885138257004144,0.919063903920184,R8_1KG_original_blocks
Stroke,0.01,MELD_lambda0_equal,0.892694967459474,0.00912787812333053,0.874386536728699,0.909976873642479,R8_1KG_original_blocks
Stroke,0.01,MELD_lambda1_afproj,0.902796360521942,0.00881703883265269,0.885631529830081,0.920498226222318,R8_1KG_original_blocks
Stroke,0.01,EUR,0.848185987842767,0.0139891646209517,0.820312731713991,0.872700312249142,R8_1KG_original_blocks
Stroke,0.01,EAS,0.815113605245155,0.0155981087881094,0.78575834205895,0.845432198026395,R8_1KG_original_blocks
Stroke,0.01,AFR,0.612432963998788,0.0279594080858949,0.55598585686306,0.666292738086824,R8_1KG_original_blocks
Stroke,0.01,CSA,0.832869757590825,0.0138411617341289,0.806320574746875,0.860137354715547,R8_1KG_original_blocks
Stroke,0.01,AMR,0.786206671541674,0.0195365537502743,0.750049485616439,0.825839714602164,R8_1KG_original_blocks
VTE,0.01,MELD_lambda0_afproj,0.884202009295219,0.0101807266775921,0.863901727985838,0.903200038327893,R8_1KG_original_blocks
VTE,0.01,MELD_lambda0_reportN,0.883624719220124,0.0101802454375767,0.86326168002342,0.903482583180898,R8_1KG_original_blocks
VTE,0.01,MELD_lambda0_equal,0.869121876806367,0.0111874401563373,0.846253986012344,0.890179433749699,R8_1KG_original_blocks
VTE,0.01,MELD_lambda1_afproj,0.885035302469278,0.0101396055784585,0.86468947698646,0.904742009252976,R8_1KG_original_blocks
VTE,0.01,EUR,0.863258721651113,0.0105402439882575,0.842135406135523,0.88294472317598,R8_1KG_original_blocks
VTE,0.01,EAS,0.714373483660984,0.0199641931070554,0.67533102465147,0.75229171506567,R8_1KG_original_blocks
VTE,0.01,AFR,0.605785501217432,0.0275147079403375,0.553086155609416,0.658952484118652,R8_1KG_original_blocks
VTE,0.01,CSA,0.805857361781051,0.0164951468394067,0.77183607083061,0.838498210178294,R8_1KG_original_blocks
VTE,0.01,AMR,0.787881659866647,0.0196473508463513,0.746290253603927,0.824677865288136,R8_1KG_original_blocks
