w_eur,chr,block_id,m,candidate,err
0.25,22,15,709,MELD_pooled,0.779714456277285
0.25,22,15,709,EUR,0.692931322617091
0.25,22,15,709,EAS,0.775208742909595
0.25,22,15,709,AFR,0.383400111207653
0.25,22,15,709,CSA,0.689782866341717
0.25,22,15,709,AMR,1.06061004255341
0.75,22,16,417,MELD_lambda0,0
0.75,22,16,417,MELD_lambda1,0.508102441961813
0.75,22,16,417,MELD_pooled,0.512230308378483
0.75,22,16,417,EUR,0.202878862876404
0.75,22,16,417,EAS,0.712963493903505
0.75,22,16,417,AFR,0.704550775169701
0.75,22,16,417,CSA,0.495622634143456
0.75,22,16,417,AMR,0.83456963099975
0.5,22,16,417,MELD_lambda0,0
0.5,22,16,417,MELD_lambda1,0.729505208827471
0.5,22,16,417,MELD_pooled,0.730503815850842
0.5,22,16,417,EUR,0.429510267764308
0.5,22,16,417,EAS,0.760719030013814
0.5,22,16,417,AFR,0.583789777649523
0.5,22,16,417,CSA,0.58809583569563
0.5,22,16,417,AMR,0.956507221170505
0.25,22,16,417,MELD_lambda0,0
0.25,22,16,417,MELD_lambda1,0.711599144201925
0.25,22,16,417,MELD_pooled,0.732590455180506
0.25,22,16,417,EUR,0.722828752658879
0.25,22,16,417,EAS,0.866104916429325
0.25,22,16,417,AFR,0.395151844095187
0.25,22,16,417,CSA,0.772405517199754
0.25,22,16,417,AMR,1.14021884545938
0.75,22,17,615,MELD_lambda0,0
0.75,22,17,615,MELD_lambda1,0.38915317733338
0.75,22,17,615,MELD_pooled,0.390166971848907
0.75,22,17,615,EUR,0.228002550976483
0.75,22,17,615,EAS,0.830736817613228
0.75,22,17,615,AFR,0.718822521218965
0.75,22,17,615,CSA,0.443459610780233
0.75,22,17,615,AMR,0.794726390292703
0.5,22,17,615,MELD_lambda0,0
0.5,22,17,615,MELD_lambda1,0.549034800974652
0.5,22,17,615,MELD_pooled,0.550683443855963
0.5,22,17,615,EUR,0.456967445621898
0.5,22,17,615,EAS,0.918920833408342
0.5,22,17,615,AFR,0.604292542229072
0.5,22,17,615,CSA,0.565651379250619
0.5,22,17,615,AMR,0.930941123769481
0.25,22,17,615,MELD_lambda0,0
0.25,22,17,615,MELD_lambda1,0.552498533501376
0.25,22,17,615,MELD_pooled,0.567007116257277
0.25,22,17,615,EUR,0.76143337788346
0.25,22,17,615,EAS,1.07167597156775
0.25,22,17,615,AFR,0.42336712774253
0.25,22,17,615,CSA,0.786899632899463
0.25,22,17,615,AMR,1.14668556615459
0.75,22,18,507,MELD_lambda0,0
0.75,22,18,507,MELD_lambda1,0.552164721277741
0.75,22,18,507,MELD_pooled,0.556008744089435
0.75,22,18,507,EUR,0.233505139278332
0.75,22,18,507,EAS,0.729384413120408
0.75,22,18,507,AFR,0.728077330929487
0.75,22,18,507,CSA,0.507950745588871
0.75,22,18,507,AMR,0.740766272238268
0.5,22,18,507,MELD_lambda0,0
0.5,22,18,507,MELD_lambda1,0.771125009105724
0.5,22,18,507,MELD_pooled,0.773736995419878
0.5,22,18,507,EUR,0.483438763204256
0.5,22,18,507,EAS,0.771199574428734
0.5,22,18,507,AFR,0.595071440344457
0.5,22,18,507,CSA,0.599963804019687
0.5,22,18,507,AMR,0.832340291623492
0.25,22,18,507,MELD_lambda0,0
0.25,22,18,507,MELD_lambda1,0.725373228471238
0.25,22,18,507,MELD_pooled,0.734040588973984
0.25,22,18,507,EUR,0.796851852999876
0.25,22,18,507,EAS,0.870284121060243
0.25,22,18,507,AFR,0.387953462568344
0.25,22,18,507,CSA,0.787141656108774
0.25,22,18,507,AMR,0.990149924258231
0.75,22,19,829,MELD_lambda0,0
0.75,22,19,829,MELD_lambda1,0.492129313859713
0.75,22,19,829,MELD_pooled,0.498961676782518
0.75,22,19,829,EUR,0.202618900324254
0.75,22,19,829,EAS,0.751434627848047
0.75,22,19,829,AFR,0.679352659484157
0.75,22,19,829,CSA,0.547745897835304
0.75,22,19,829,AMR,1.17711531252525
0.5,22,19,829,MELD_lambda0,0
0.5,22,19,829,MELD_lambda1,0.703875972333645
0.5,22,19,829,MELD_pooled,0.704722522772299
0.5,22,19,829,EUR,0.422563400181128
0.5,22,19,829,EAS,0.82654888208832
0.5,22,19,829,AFR,0.551656701263967
0.5,22,19,829,CSA,0.633303517990795
0.5,22,19,829,AMR,1.2992837889264
0.25,22,19,829,MELD_lambda0,0
0.25,22,19,829,MELD_lambda1,0.669875024085029
0.25,22,19,829,MELD_pooled,0.689967201391246
0.25,22,19,829,EUR,0.689252379856163
0.25,22,19,829,EAS,0.948781142758021
0.25,22,19,829,AFR,0.363799744131414
0.25,22,19,829,CSA,0.787128240883712
0.25,22,19,829,AMR,1.44555905166721
0.75,22,20,769,MELD_lambda0,0
0.75,22,20,769,MELD_lambda1,0.860015112114091
0.75,22,20,769,MELD_pooled,0.863038830204198
0.75,22,20,769,EUR,0.222063593757174
0.75,22,20,769,EAS,0.73463556750541
0.75,22,20,769,AFR,0.766631141658035
0.75,22,20,769,CSA,0.612314342188655
0.75,22,20,769,AMR,0.951115002056599
0.5,22,20,769,MELD_lambda0,0
0.5,22,20,769,MELD_lambda1,1.18050766414266
0.5,22,20,769,MELD_pooled,1.17740277286769
0.5,22,20,769,EUR,0.449603388350985
0.5,22,20,769,EAS,0.802350235514969
0.5,22,20,769,AFR,0.64105083771747
0.5,22,20,769,CSA,0.68326398702076
0.5,22,20,769,AMR,1.04346564675025
0.25,22,20,769,MELD_lambda0,0
0.25,22,20,769,MELD_lambda1,1.10507282947344
0.25,22,20,769,MELD_pooled,1.11511348645219
0.25,22,20,769,EUR,0.721491725145547
0.25,22,20,769,EAS,0.921950426629262
0.25,22,20,769,AFR,0.445648648465871
0.25,22,20,769,CSA,0.819110888440513
0.25,22,20,769,AMR,1.16721172578572
0.75,22,21,571,MELD_lambda0,0
0.75,22,21,571,MELD_lambda1,0.938495838087974
0.75,22,21,571,MELD_pooled,0.95966275571945
0.75,22,21,571,EUR,0.271931974141446
0.75,22,21,571,EAS,0.764615072958319
0.75,22,21,571,AFR,0.675551937649457
0.75,22,21,571,CSA,0.544830879851925
0.75,22,21,571,AMR,0.845722224888889
0.5,22,21,571,MELD_lambda0,0
