chr,block_id,afr_treatment,w_eur,af_bin,m_bin,af_bin_lo,af_bin_hi,r2_l0,r2_l1,diff
22,6,original,0.25,2,160,0.0750713994288046,0.21515744302617,0.845295859027709,0.844728050057009,-0.000567808970700745
22,6,original,0.25,3,160,0.21515744302617,0.738850760622487,0.713926826719449,0.719186616744631,0.00525979002518207
22,6,corrected,0.75,1,160,0.00096641239727225,0.062984904120767,0.82721632772329,0.82611335027071,-0.00110297745258003
22,6,corrected,0.75,2,160,0.062984904120767,0.180517094698957,0.93598918979318,0.935316545509086,-0.00067264428409386
22,6,corrected,0.75,3,160,0.180517094698957,0.619895788162266,0.906264034759203,0.905507440512133,-0.000756594247069975
22,6,corrected,0.5,1,160,0.00096641239727225,0.062984904120767,0.670346351074912,0.669426029631448,-0.000920321443464323
22,6,corrected,0.5,2,160,0.062984904120767,0.180517094698957,0.901986305175675,0.900333405778733,-0.00165289939694269
22,6,corrected,0.5,3,160,0.180517094698957,0.619895788162266,0.815196692397597,0.814905811170743,-0.000290881226853723
22,6,corrected,0.25,1,160,0.00096641239727225,0.062984904120767,0.570724119649556,0.571753268644687,0.00102914899513107
22,6,corrected,0.25,2,160,0.062984904120767,0.180517094698957,0.858706256382919,0.857101037435217,-0.0016052189477026
22,6,corrected,0.25,3,160,0.180517094698957,0.619895788162266,0.727550037618476,0.7293226592776,0.00177262165912395
22,7,original,0.75,1,316,0.000109284840006996,0.0892598502069126,0.755964492154147,0.752171930709032,-0.00379256144511508
22,7,original,0.75,2,316,0.0892598502069126,0.213115620607936,0.752131879216424,0.747486462429129,-0.00464541678729447
22,7,original,0.75,3,316,0.213115620607936,0.749075450253541,0.801655475987329,0.796807640126158,-0.00484783586117099
22,7,original,0.5,1,316,0.000109284840006996,0.0892598502069126,0.630100507436459,0.619473323388043,-0.0106271840484155
22,7,original,0.5,2,316,0.0892598502069126,0.213115620607936,0.594894847408065,0.588009265722551,-0.00688558168551312
22,7,original,0.5,3,316,0.213115620607936,0.749075450253541,0.776734357774378,0.760158125476773,-0.0165762322976043
22,7,original,0.25,1,316,0.000109284840006996,0.0892598502069126,0.585443523774289,0.571541567348768,-0.0139019564255203
22,7,original,0.25,2,316,0.0892598502069126,0.213115620607936,0.472582585298423,0.464965718299003,-0.0076168669994196
22,7,original,0.25,3,316,0.213115620607936,0.749075450253541,0.758247151121309,0.742865588242419,-0.01538156287889
22,7,corrected,0.75,1,316,9.16899807658772e-05,0.0748890143235996,0.755640077980489,0.752036942325793,-0.00360313565469605
22,7,corrected,0.75,2,316,0.0748890143235996,0.178804005690058,0.75079022455071,0.746595689411928,-0.0041945351387821
22,7,corrected,0.75,3,316,0.178804005690058,0.628474302762721,0.802471652335752,0.799361866541318,-0.00310978579443466
22,7,corrected,0.5,1,316,9.16899807658772e-05,0.0748890143235996,0.627573932334698,0.61815163067205,-0.0094223016626479
22,7,corrected,0.5,2,316,0.0748890143235996,0.178804005690058,0.602082238198001,0.594903294151206,-0.00717894404679498
22,7,corrected,0.5,3,316,0.178804005690058,0.628474302762721,0.777964975518999,0.765050999675403,-0.012913975843596
22,7,corrected,0.25,1,316,9.16899807658772e-05,0.0748890143235996,0.585110487529871,0.572913633400321,-0.0121968541295491
22,7,corrected,0.25,2,316,0.0748890143235996,0.178804005690058,0.498583577985839,0.488865071564911,-0.00971850642092859
22,7,corrected,0.25,3,316,0.178804005690058,0.628474302762721,0.766133629648445,0.752628470083048,-0.013505159565397
22,8,original,0.75,1,288,0.000467739115229904,0.0778422451940278,0.641886601909017,0.647271143949014,0.00538454203999628
22,8,original,0.75,2,287,0.0778422451940278,0.173614996794311,0.659430445767461,0.655824536301778,-0.00360590946568373
22,8,original,0.75,3,288,0.173614996794311,0.677993311767792,0.58429214731677,0.579477556459691,-0.00481459085707925
22,8,original,0.5,1,288,0.000467739115229904,0.0778422451940278,0.572179724782879,0.575061056665075,0.00288133188219686
22,8,original,0.5,2,287,0.0778422451940278,0.173614996794311,0.61771114811412,0.618685176254425,0.000974028140304894
22,8,original,0.5,3,288,0.173614996794311,0.677993311767792,0.522129342811211,0.516010249806458,-0.00611909300475255
22,8,original,0.25,1,288,0.000467739115229904,0.0778422451940278,0.572456580588072,0.57204052929118,-0.000416051296891928
22,8,original,0.25,2,287,0.0778422451940278,0.173614996794311,0.628604708580895,0.636980922934556,0.00837621435366087
22,8,original,0.25,3,288,0.173614996794311,0.677993311767792,0.490062049493273,0.488757077056306,-0.00130497243696753
22,8,corrected,0.75,1,288,0.000392433117677893,0.0653096437177893,0.641287759487829,0.646634029223568,0.00534626973573815
22,8,corrected,0.75,2,287,0.0653096437177893,0.145662982310427,0.659897318812748,0.656637619593715,-0.00325969921903302
22,8,corrected,0.75,3,288,0.145662982310427,0.568836388573177,0.581188607033301,0.578369437035734,-0.00281916999756748
22,8,corrected,0.5,1,288,0.000392433117677893,0.0653096437177893,0.571819702861091,0.574816306365174,0.00299660350408237
22,8,corrected,0.5,2,287,0.0653096437177893,0.145662982310427,0.616471841083437,0.616086017108717,-0.00038582397472009
