trait,delta,comparison,mean_diff,sd,lo95,hi95
VTE,0.001,MELD_lambda0_afproj − AMR,0.0727539723412082,0.0171205132199782,0.040000121309586,0.105303293501823
VTE,0.001,MELD_lambda0_afproj − MID,0.0389719861754045,0.0146956528039796,0.00923887456493051,0.0667128987224728
VTE,0.001,MELD_lambda0_afproj − MELD_lambda0_equal,-0.0698994828671048,0.01103442107188,-0.0919091875129637,-0.0484121326758177
VTE,0.001,MELD_lambda0_afproj − MELD_lambda0_reportN,-0.00639074527842888,0.00191933745446591,-0.0104129110834766,-0.00284189239942337
VTE,0.001,MELD_lambda1_afproj − MELD_lambda0_afproj,0.00300529003946262,0.00162274628791314,-0.000213228695947808,0.00614430660675755
VTE,0.001,MELD_lambda0_equal − EUR,0.148846814532719,0.0179144771229403,0.114503556083807,0.185313545270018
VTE,0.01,MELD_lambda0_afproj − EUR,0.0174431874821841,0.00253636934576122,0.0127369941882312,0.0224354397020015
VTE,0.01,MELD_lambda0_afproj − EAS,0.104936566809289,0.00842386708552415,0.0876927981897989,0.12127739022595
VTE,0.01,MELD_lambda0_afproj − AFR,0.132694100627479,0.0103235749362857,0.113022265438355,0.152628615747171
VTE,0.01,MELD_lambda0_afproj − CSA,0.0437745801374752,0.00581638609438809,0.0323443861753718,0.0550145975481868
VTE,0.01,MELD_lambda0_afproj − AMR,0.0356144921366151,0.0070608721155003,0.0217383975168756,0.0496909157407478
VTE,0.01,MELD_lambda0_afproj − MID,0.0299501169390912,0.00453564424698669,0.0213514179395635,0.0393109751892406
VTE,0.01,MELD_lambda0_afproj − MELD_lambda0_equal,0.0051012357180438,0.00366274372970429,-0.00184584316992608,0.012727976126218
VTE,0.01,MELD_lambda0_afproj − MELD_lambda0_reportN,-0.00101036772868024,0.000322081301595085,-0.00169502436263151,-0.000435158369487857
VTE,0.01,MELD_lambda1_afproj − MELD_lambda0_afproj,-0.000126997133165832,0.000736008282509059,-0.00152126359197459,0.00133847090142914
VTE,0.01,MELD_lambda0_equal − EUR,0.0123419517641403,0.00528035491464745,0.00208666186426192,0.0227637633570491
VTE,0.1,MELD_lambda0_afproj − EUR,0.00513601523944535,0.00120671874627856,0.00278281087115975,0.00761188095136089
VTE,0.1,MELD_lambda0_afproj − EAS,0.0850596369740788,0.00695432464448776,0.0715479961637751,0.0989489244341724
VTE,0.1,MELD_lambda0_afproj − AFR,0.122162628018959,0.0096748075164492,0.102849489651755,0.141320404838649
VTE,0.1,MELD_lambda0_afproj − CSA,0.0314852756611106,0.00451725357422284,0.022870395471874,0.0407329967717944
VTE,0.1,MELD_lambda0_afproj − AMR,0.0226444332750427,0.00344184923070205,0.0162311693086302,0.0296458576321668
VTE,0.1,MELD_lambda0_afproj − MID,0.0251440578370934,0.00349720310502467,0.0188484465981872,0.0322627163628005
VTE,0.1,MELD_lambda0_afproj − MELD_lambda0_equal,0.0142639181137079,0.00264229942580157,0.00926761838007081,0.0196165836097947
VTE,0.1,MELD_lambda0_afproj − MELD_lambda0_reportN,-0.000568107138042744,0.00022269800495147,-0.00102719857358914,-0.000161842584163529
VTE,0.1,MELD_lambda1_afproj − MELD_lambda0_afproj,-0.000668082224701946,0.000557401150910939,-0.00177597546878097,0.00038048862869328
VTE,0.1,MELD_lambda0_equal − EUR,-0.00912790287426252,0.00327300466844131,-0.0154836303120499,-0.00254866409115919
