trait,sweep_kind,sweep_id,best_sp_name,adv,adv_lo,adv_hi,eff_groups,mean_B_diag
Asthma,EUR_EAS,EUR_EAS_05,EUR,0.0660715439010701,0.0533265450957083,0.0808388667003529,1.92307692307692,0.0351392994174875
Asthma,EUR_EAS,EUR_EAS_06,EUR,0.0536239843133595,0.0405110653869489,0.0671303087358633,2,0.0366034368932162
Asthma,EUR_EAS,EUR_EAS_07,EUR,0.0392106170513357,0.0237980455520506,0.055949566256175,1.92307692307692,0.0351392994174875
Asthma,EUR_EAS,EUR_EAS_08,EUR,0.0282793120053833,0.0165996643270065,0.0397611708249672,1.72413793103448,0.0307468869903016
Asthma,EUR_EAS,EUR_EAS_09,EUR,0.0215580020796743,0.014680589494465,0.0291571155336165,1.47058823529412,0.0234261996116584
Asthma,EUR_EAS,EUR_EAS_10,EUR,0.0122062623111265,0.00721494168641918,0.017363689264532,1.21951219512195,0.0131772372815578
Asthma,EUR_EAS,EUR_EAS_11,EUR,6.55975034239678e-16,-1.22334119312163e-15,2.80580494963335e-15,1,0
Asthma,multi,equal,EUR,0.109487836437302,0.0882959533243947,0.129836701142485,5,0.042919331107851
Asthma,multi,reported,EUR,0.0318556775799121,0.0222120802658614,0.0417833025174715,1.60864374737596,0.0254323575987946
Asthma,multi,w25rest,EUR,0.099299849883312,0.0800439753455454,0.11849906614243,4.92307692307692,0.0419743298928447
Asthma,multi,w50rest,EUR,0.0741386105867181,0.0547149744668372,0.0937282165522375,3.2,0.0337744098593444
COPD,EUR_AFR,EUR_AFR_01,AFR,-0.00144358742745842,-0.00470010510282329,4.83578381448211e-11,1,0
COPD,EUR_AFR,EUR_AFR_02,AFR,0.0974463956985285,0.0716578798763866,0.121929757239942,1.21951219512195,0.0137934690199441
COPD,EUR_AFR,EUR_AFR_03,AFR,0.120472949734037,0.094303352899244,0.143142250413207,1.47058823529412,0.0245217227021228
COPD,EUR_AFR,EUR_AFR_04,EUR,0.143906218041089,0.106426040624066,0.18059270473075,1.72413793103448,0.0321847610465362
COPD,EUR_AFR,EUR_AFR_05,EUR,0.117947230422749,0.077254172772822,0.158521284071642,1.92307692307692,0.0367825840531842
COPD,EUR_AFR,EUR_AFR_06,EUR,0.119242820130422,0.0882470621638833,0.151872106850006,2,0.0383151917220669
