chr,block_id,m,weight_set,candidate,r2
22,17,615,afproj,MELD_lambda1,0.99616219283825
22,17,615,afproj,EUR,0.992369836186767
22,17,615,afproj,EAS,0.887089357565528
22,17,615,afproj,AFR,0.774071042072966
22,17,615,afproj,CSA,0.980598218746744
22,17,615,afproj,AMR,0.98380862145371
22,18,507,paperN,MELD_lambda0,0.986198178772189
22,18,507,paperN,MELD_lambda1,0.982216556778411
22,18,507,paperN,EUR,0.966651571507871
22,18,507,paperN,EAS,0.704506993005529
22,18,507,paperN,AFR,0.823172432665428
22,18,507,paperN,CSA,0.901222547336028
22,18,507,paperN,AMR,0.929120503599336
22,18,507,afproj,MELD_lambda0,0.985783289465639
22,18,507,afproj,MELD_lambda1,0.981763450305874
22,18,507,afproj,EUR,0.966651571507871
22,18,507,afproj,EAS,0.704506993005529
22,18,507,afproj,AFR,0.823172432665428
22,18,507,afproj,CSA,0.901222547336028
22,18,507,afproj,AMR,0.929120503599336
22,19,829,paperN,MELD_lambda0,0.942736643238536
22,19,829,paperN,MELD_lambda1,0.937139222790631
22,19,829,paperN,EUR,0.911139580683456
22,19,829,paperN,EAS,0.734640033185248
22,19,829,paperN,AFR,0.524697614316349
22,19,829,paperN,CSA,0.812928561198363
22,19,829,paperN,AMR,0.820968708361911
22,19,829,afproj,MELD_lambda0,0.942496303408512
22,19,829,afproj,MELD_lambda1,0.936886107234294
22,19,829,afproj,EUR,0.911139580683456
22,19,829,afproj,EAS,0.734640033185248
22,19,829,afproj,AFR,0.524697614316349
22,19,829,afproj,CSA,0.812928561198363
22,19,829,afproj,AMR,0.820968708361911
22,20,769,paperN,MELD_lambda0,0.979756072620607
22,20,769,paperN,MELD_lambda1,0.979732869541978
22,20,769,paperN,EUR,0.95601999239307
22,20,769,paperN,EAS,0.85834623963702
22,20,769,paperN,AFR,0.665793970635353
22,20,769,paperN,CSA,0.915855629330122
22,20,769,paperN,AMR,0.910596894027749
22,20,769,afproj,MELD_lambda0,0.979569736698377
22,20,769,afproj,MELD_lambda1,0.979366483764739
22,20,769,afproj,EUR,0.95601999239307
22,20,769,afproj,EAS,0.85834623963702
22,20,769,afproj,AFR,0.665793970635353
22,20,769,afproj,CSA,0.915855629330122
22,20,769,afproj,AMR,0.910596894027749
22,21,572,paperN,MELD_lambda0,0.962625324192158
22,21,572,paperN,MELD_lambda1,0.95665149937559
22,21,572,paperN,EUR,0.936484038138848
22,21,572,paperN,EAS,0.643634584465556
22,21,572,paperN,AFR,0.542967269847232
22,21,572,paperN,CSA,0.91604731023811
22,21,572,paperN,AMR,0.89800016017328
22,21,572,afproj,MELD_lambda0,0.962322791515375
22,21,572,afproj,MELD_lambda1,0.956088330976812
22,21,572,afproj,EUR,0.936484038138848
22,21,572,afproj,EAS,0.643634584465556
22,21,572,afproj,AFR,0.542967269847232
22,21,572,afproj,CSA,0.91604731023811
22,21,572,afproj,AMR,0.89800016017328
22,22,875,paperN,MELD_lambda0,0.910345750988942
22,22,875,paperN,MELD_lambda1,0.917274738714082
22,22,875,paperN,EUR,0.795012153956479
22,22,875,paperN,EAS,0.407471720886764
22,22,875,paperN,AFR,0.387550059814307
22,22,875,paperN,CSA,0.830699798940043
22,22,875,paperN,AMR,0.657677581629669
22,22,875,afproj,MELD_lambda0,0.907633060220863
22,22,875,afproj,MELD_lambda1,0.914686693548077
22,22,875,afproj,EUR,0.795012153956479
22,22,875,afproj,EAS,0.407471720886764
22,22,875,afproj,AFR,0.387550059814307
22,22,875,afproj,CSA,0.830699798940043
22,22,875,afproj,AMR,0.657677581629669
22,23,712,paperN,MELD_lambda0,0.883035963972709
22,23,712,paperN,MELD_lambda1,0.889604468961373
22,23,712,paperN,EUR,0.877207958382506
22,23,712,paperN,EAS,0.678742376884951
22,23,712,paperN,AFR,0.368137904913994
22,23,712,paperN,CSA,0.737237997820741
22,23,712,paperN,AMR,0.749168957125442
22,23,712,afproj,MELD_lambda0,0.88122903188175
22,23,712,afproj,MELD_lambda1,0.887306856368927
22,23,712,afproj,EUR,0.877207958382506
22,23,712,afproj,EAS,0.678742376884951
