chr,block_id,m,afr_treatment,w_eur,perm,r2
22,5,417,original,0.25,6,0.730780409024421
22,5,417,original,0.25,7,0.746647854603848
22,5,417,original,0.25,8,0.748707744024628
22,5,417,original,0.25,0,0.733350058987857
22,5,417,original,0.25,-1,0.733242746785764
22,5,417,corrected,0.75,1,0.80790558057034
22,5,417,corrected,0.75,2,0.805467286868502
22,5,417,corrected,0.75,3,0.801375781511061
22,5,417,corrected,0.75,4,0.816842051534415
22,5,417,corrected,0.75,5,0.820547843962686
22,5,417,corrected,0.75,6,0.813648380060065
22,5,417,corrected,0.75,7,0.828018041797158
22,5,417,corrected,0.75,8,0.805541158746229
22,5,417,corrected,0.75,0,0.826524251866287
22,5,417,corrected,0.75,-1,0.821427034791159
22,5,417,corrected,0.5,1,0.762705149167345
22,5,417,corrected,0.5,2,0.768416255506699
22,5,417,corrected,0.5,3,0.766510255154378
22,5,417,corrected,0.5,4,0.779907416016147
22,5,417,corrected,0.5,5,0.778118340223626
22,5,417,corrected,0.5,6,0.752768298474442
22,5,417,corrected,0.5,7,0.777237115335378
22,5,417,corrected,0.5,8,0.755382770134295
22,5,417,corrected,0.5,0,0.779730467956147
22,5,417,corrected,0.5,-1,0.775542178140743
22,5,417,corrected,0.25,1,0.742853427735214
22,5,417,corrected,0.25,2,0.749635303105727
22,5,417,corrected,0.25,3,0.749404247301272
22,5,417,corrected,0.25,4,0.761361108023077
22,5,417,corrected,0.25,5,0.754072065660996
22,5,417,corrected,0.25,6,0.730219357689092
22,5,417,corrected,0.25,7,0.752961044322254
22,5,417,corrected,0.25,8,0.736550532304294
22,5,417,corrected,0.25,0,0.751461469495857
22,5,417,corrected,0.25,-1,0.750745270818664
22,6,480,original,0.75,1,0.925340504089679
22,6,480,original,0.75,2,0.931279828979936
22,6,480,original,0.75,3,0.924586218086539
22,6,480,original,0.75,4,0.932371264691609
22,6,480,original,0.75,5,0.934244510174773
22,6,480,original,0.75,6,0.925462610523457
22,6,480,original,0.75,7,0.933581488245801
22,6,480,original,0.75,8,0.926070733926611
22,6,480,original,0.75,0,0.94202586779419
22,6,480,original,0.75,-1,0.938346269782091
22,6,480,original,0.5,1,0.866970438871956
22,6,480,original,0.5,2,0.88224089955242
22,6,480,original,0.5,3,0.863410522413802
22,6,480,original,0.5,4,0.87626081800263
22,6,480,original,0.5,5,0.881181992631551
22,6,480,original,0.5,6,0.873476590480733
22,6,480,original,0.5,7,0.882432721440056
22,6,480,original,0.5,8,0.869955744150258
22,6,480,original,0.5,0,0.894229042965311
22,6,480,original,0.5,-1,0.89311688153972
22,6,480,original,0.25,1,0.82530164027359
22,6,480,original,0.25,2,0.833492000427795
22,6,480,original,0.25,3,0.824071139368179
22,6,480,original,0.25,4,0.826471258995696
22,6,480,original,0.25,5,0.835313004987535
22,6,480,original,0.25,6,0.835530487341921
22,6,480,original,0.25,7,0.838719758233708
22,6,480,original,0.25,8,0.833609868905892
22,6,480,original,0.25,0,0.843337504860536
22,6,480,original,0.25,-1,0.847061547370691
22,6,480,corrected,0.75,1,0.930752868437862
22,6,480,corrected,0.75,2,0.931423713285415
22,6,480,corrected,0.75,3,0.93089162757356
22,6,480,corrected,0.75,4,0.926708182434495
22,6,480,corrected,0.75,5,0.927722334787856
22,6,480,corrected,0.75,6,0.928478506772289
22,6,480,corrected,0.75,7,0.938550016452857
22,6,480,corrected,0.75,8,0.928588032129527
22,6,480,corrected,0.75,0,0.940320736751584
22,6,480,corrected,0.75,-1,0.93836429386963
22,6,480,corrected,0.5,1,0.880316584369715
22,6,480,corrected,0.5,2,0.877465423584263
22,6,480,corrected,0.5,3,0.878424518951414
22,6,480,corrected,0.5,4,0.878731108173387
22,6,480,corrected,0.5,5,0.86738351880194
22,6,480,corrected,0.5,6,0.870714731690816
22,6,480,corrected,0.5,7,0.892390241061439
22,6,480,corrected,0.5,8,0.87053855125247
22,6,480,corrected,0.5,0,0.892842696531098
22,6,480,corrected,0.5,-1,0.892549551294606
22,6,480,corrected,0.25,1,0.839826125170862
22,6,480,corrected,0.25,2,0.836720600721207
22,6,480,corrected,0.25,3,0.836940938585234
22,6,480,corrected,0.25,4,0.841280008060672
22,6,480,corrected,0.25,5,0.829394877308783
22,6,480,corrected,0.25,6,0.829434450991022
22,6,480,corrected,0.25,7,0.851403549680444
22,6,480,corrected,0.25,8,0.83259696596816
22,6,480,corrected,0.25,0,0.846658729071305
22,6,480,corrected,0.25,-1,0.849134461851023
22,7,948,original,0.75,1,0.769089121386788
22,7,948,original,0.75,2,0.770083356963321
22,7,948,original,0.75,3,0.774654153407304
22,7,948,original,0.75,4,0.786152766169636
22,7,948,original,0.75,5,0.770285841720723
22,7,948,original,0.75,6,0.77325685665448
22,7,948,original,0.75,7,0.78333756965795
22,7,948,original,0.75,8,0.770574563097191
22,7,948,original,0.75,0,0.775535629719362
22,7,948,original,0.75,-1,0.776063652149016
22,7,948,original,0.5,1,0.686969887462717
22,7,948,original,0.5,2,0.67656292422321
22,7,948,original,0.5,3,0.681227384201657
22,7,948,original,0.5,4,0.698662397080845
22,7,948,original,0.5,5,0.679972667273153
22,7,948,original,0.5,6,0.692539130753514
22,7,948,original,0.5,7,0.691979618845913
22,7,948,original,0.5,8,0.677498091884937
22,7,948,original,0.5,0,0.686907818642832
22,7,948,original,0.5,-1,0.707955730638942
22,7,948,original,0.25,1,0.643985007296485
22,7,948,original,0.25,2,0.63373685583091
22,7,948,original,0.25,3,0.633641108418614
22,7,948,original,0.25,4,0.646803395618363
22,7,948,original,0.25,5,0.638569192770492
22,7,948,original,0.25,6,0.653938886995186
22,7,948,original,0.25,7,0.639438930749505
22,7,948,original,0.25,8,0.627956040815582
22,7,948,original,0.25,0,0.63494014164776
22,7,948,original,0.25,-1,0.662071264532868
22,7,948,corrected,0.75,1,0.786524020682303
22,7,948,corrected,0.75,2,0.766440862282883
22,7,948,corrected,0.75,3,0.778005669572863
22,7,948,corrected,0.75,4,0.773576576502332
22,7,948,corrected,0.75,5,0.781339843086379
22,7,948,corrected,0.75,6,0.775511100007033
22,7,948,corrected,0.75,7,0.770651987865212
22,7,948,corrected,0.75,8,0.792350394207908
22,7,948,corrected,0.75,0,0.777935965210533
22,7,948,corrected,0.75,-1,0.778977860549352
22,7,948,corrected,0.5,1,0.702367960682231
22,7,948,corrected,0.5,2,0.68919829933407
22,7,948,corrected,0.5,3,0.693600699037863
22,7,948,corrected,0.5,4,0.686863378987755
22,7,948,corrected,0.5,5,0.698406233271013
22,7,948,corrected,0.5,6,0.690590322509351
22,7,948,corrected,0.5,7,0.675814826513826
22,7,948,corrected,0.5,8,0.712012793094416
22,7,948,corrected,0.5,0,0.692574780893544
22,7,948,corrected,0.5,-1,0.710181107314852
22,7,948,corrected,0.25,1,0.659440343334995
22,7,948,corrected,0.25,2,0.65309177273669
22,7,948,corrected,0.25,3,0.653467135564938
22,7,948,corrected,0.25,4,0.652039121780438
22,7,948,corrected,0.25,5,0.654285709894824
22,7,948,corrected,0.25,6,0.650476136364244
22,7,948,corrected,0.25,7,0.638657500171418
22,7,948,corrected,0.25,8,0.669607173202918
22,7,948,corrected,0.25,0,0.649625352104257
22,7,948,corrected,0.25,-1,0.670460715555507
22,8,863,original,0.75,1,0.746306172351266
22,8,863,original,0.75,2,0.744579133636062
22,8,863,original,0.75,3,0.734926693342104
22,8,863,original,0.75,4,0.742527931708371
22,8,863,original,0.75,5,0.759780515370224
22,8,863,original,0.75,6,0.755275991216119
22,8,863,original,0.75,7,0.749530979179219
22,8,863,original,0.75,8,0.753570345921601
22,8,863,original,0.75,0,0.762519656731135
22,8,863,original,0.75,-1,0.757823898352093
22,8,863,original,0.5,1,0.709772343323268
22,8,863,original,0.5,2,0.706216847479048
22,8,863,original,0.5,3,0.691402194151514
22,8,863,original,0.5,4,0.695971354617686
22,8,863,original,0.5,5,0.713324931131206
22,8,863,original,0.5,6,0.71163343455984
22,8,863,original,0.5,7,0.696582363064625
22,8,863,original,0.5,8,0.706116734622042
22,8,863,original,0.5,0,0.71410139971679
22,8,863,original,0.5,-1,0.723559246517312
22,8,863,original,0.25,1,0.689263862808846
22,8,863,original,0.25,2,0.682787258267483
22,8,863,original,0.25,3,0.673486770484001
22,8,863,original,0.25,4,0.675254646526493
22,8,863,original,0.25,5,0.686691943097207
22,8,863,original,0.25,6,0.687201614009537
22,8,863,original,0.25,7,0.674231949380505
22,8,863,original,0.25,8,0.685086368018795
22,8,863,original,0.25,0,0.681672996126129
22,8,863,original,0.25,-1,0.703087670789662
22,8,863,corrected,0.75,1,0.748369136294899
22,8,863,corrected,0.75,2,0.763495995611096
22,8,863,corrected,0.75,3,0.76197874985699
22,8,863,corrected,0.75,4,0.750957978105381
22,8,863,corrected,0.75,5,0.753887387149295
22,8,863,corrected,0.75,6,0.748870218093343
22,8,863,corrected,0.75,7,0.764595037424756
22,8,863,corrected,0.75,8,0.75753328609576
22,8,863,corrected,0.75,0,0.764483278578812
22,8,863,corrected,0.75,-1,0.760965741157396
22,8,863,corrected,0.5,1,0.707917791152833
22,8,863,corrected,0.5,2,0.729783429520724
22,8,863,corrected,0.5,3,0.725890759978847
22,8,863,corrected,0.5,4,0.715234810268787
22,8,863,corrected,0.5,5,0.716441359266432
22,8,863,corrected,0.5,6,0.717646486885471
22,8,863,corrected,0.5,7,0.725111750822539
22,8,863,corrected,0.5,8,0.722142348671274
22,8,863,corrected,0.5,0,0.724924787360128
22,8,863,corrected,0.5,-1,0.731490365276229
22,8,863,corrected,0.25,1,0.699051881406273
22,8,863,corrected,0.25,2,0.714145555814686
22,8,863,corrected,0.25,3,0.710848832939646
22,8,863,corrected,0.25,4,0.704475876656372
22,8,863,corrected,0.25,5,0.704732553587306
22,8,863,corrected,0.25,6,0.70736402399864
22,8,863,corrected,0.25,7,0.711772702611195
22,8,863,corrected,0.25,8,0.708255452483149
22,8,863,corrected,0.25,0,0.705667526345856
22,8,863,corrected,0.25,-1,0.719053988486337
22,9,733,original,0.75,1,0.935922575409331
22,9,733,original,0.75,2,0.92556727277674
22,9,733,original,0.75,3,0.930425134691166
22,9,733,original,0.75,4,0.930598509757074
22,9,733,original,0.75,5,0.932949125701472
22,9,733,original,0.75,6,0.928439472463401
22,9,733,original,0.75,7,0.941791090200011
22,9,733,original,0.75,8,0.933289996568213
22,9,733,original,0.75,0,0.944798397424124
22,9,733,original,0.75,-1,0.942620416947218
22,9,733,original,0.5,1,0.881758966810624
22,9,733,original,0.5,2,0.867684742552341
22,9,733,original,0.5,3,0.867331397795573
22,9,733,original,0.5,4,0.868926611787322
22,9,733,original,0.5,5,0.875503559054695
22,9,733,original,0.5,6,0.87222008766538
22,9,733,original,0.5,7,0.882818991080038
22,9,733,original,0.5,8,0.878817460973858
22,9,733,original,0.5,0,0.884704167022971
22,9,733,original,0.5,-1,0.889949091229061
22,9,733,original,0.25,1,0.815903249472521
