chr,block_id,m,afr_treatment,w_eur,r2_l0,r2_l1,placebo_r2
22,17,615,corrected,0.25,0.935211531614633,0.930084996208854,0.930459945739208
22,17,615,corrected,0.5,0.955354574934833,0.947783179530397,0.942446942257939
22,17,615,corrected,0.75,0.980046375918379,0.976624962415954,0.971562440418071
22,17,615,original,0.25,0.921758950924177,0.917496583960975,0.918332413355949
22,17,615,original,0.5,0.950752161319356,0.941533735745365,0.934221654738034
22,17,615,original,0.75,0.97946482285842,0.975045147471974,0.967062093276888
22,18,507,corrected,0.25,0.868313921271632,0.878931792539649,0.870773484443401
22,18,507,corrected,0.5,0.902713264032043,0.909572426281137,0.897753971876957
22,18,507,corrected,0.75,0.953249733636717,0.955733251778937,0.947150099023549
22,18,507,original,0.25,0.8515141510311,0.86700152507688,0.85099818994385
22,18,507,original,0.5,0.89783908890852,0.904890904082103,0.883064705592477
22,18,507,original,0.75,0.952649656697525,0.954073695616599,0.938271519428405
22,19,829,corrected,0.25,0.701487250965966,0.721513734594579,0.711518810069419
22,19,829,corrected,0.5,0.743193425093136,0.759429446507592,0.747422457844477
22,19,829,corrected,0.75,0.807902628973731,0.815018553021217,0.806499144954923
22,19,829,original,0.25,0.672755473629542,0.691657991362732,0.682715681929853
22,19,829,original,0.5,0.727697997682242,0.741818566506469,0.729666653938981
22,19,829,original,0.75,0.804851636695842,0.810446013654369,0.801741841845458
22,20,769,corrected,0.25,0.855836454465663,0.86264202520061,0.848733356282178
22,20,769,corrected,0.5,0.903378310707868,0.905676030285697,0.890255097980523
22,20,769,corrected,0.75,0.946811375628162,0.946729419716281,0.93834202588994
22,20,769,original,0.25,0.834398039697327,0.847700682894794,0.833940413224339
22,20,769,original,0.5,0.895169799341806,0.898566230573127,0.88582847982433
22,20,769,original,0.75,0.945295214646439,0.944401656760926,0.937372021348477
22,21,571,corrected,0.25,0.848734100714687,0.843549257571609,0.838769383752926
22,21,571,corrected,0.5,0.878310548199957,0.871518897172469,0.857510436792218
22,21,571,corrected,0.75,0.918346626868824,0.916589892188178,0.898329719809068
22,21,571,original,0.25,0.824498193984784,0.818151528023071,0.805291973415774
22,21,571,original,0.5,0.8668309884197,0.85458122872393,0.833078393711135
22,21,571,original,0.75,0.916286934859485,0.908998036306582,0.885017126492436
22,22,875,corrected,0.25,0.5980153541487,0.608395039957314,0.611247336525127
22,22,875,corrected,0.5,0.636306588394449,0.644382208917163,0.639183576375178
22,22,875,corrected,0.75,0.68346188506359,0.693243118804517,0.67000120524834
22,22,875,original,0.25,0.56063146317033,0.58026326181673,0.585766900727115
22,22,875,original,0.5,0.618985762356071,0.629867350446919,0.631504090602013
22,22,875,original,0.75,0.680680094983473,0.690182128412409,0.667285972407224
22,23,712,corrected,0.25,0.665462845628936,0.67153172460271,0.670900917499532
22,23,712,corrected,0.5,0.671354404337071,0.681985439931938,0.673478917001
22,23,712,corrected,0.75,0.717477622939332,0.727018580695627,0.717975529518169
22,23,712,original,0.25,0.650614436608161,0.653657763580348,0.656794627438359
22,23,712,original,0.5,0.664007391927729,0.672061246848375,0.663726979226869
22,23,712,original,0.75,0.714370124552924,0.723231809448948,0.712348893684106
22,24,552,corrected,0.25,0.850770040640783,0.860480269010922,0.852392232710563
22,24,552,corrected,0.5,0.885856027730257,0.889912496554569,0.877447504388386
22,24,552,corrected,0.75,0.927843565717243,0.926848446041964,0.914603779704773
22,24,552,original,0.25,0.838277790710394,0.855292341508582,0.836269679034582
22,24,552,original,0.5,0.881388257194835,0.888195598986486,0.867630689124391
22,24,552,original,0.75,0.927379221434861,0.925718504642457,0.912408046155808
