chr,block_id,w_eur,af_bin,m_bin,af_bin_lo,af_bin_hi,delta,r2_l0,r2_l1,diff
22,6,0.25,1,160,0.00115186221367372,0.0750713994288046,0.001,0.562420132836711,0.56353167411859,0.00111154128187896
22,6,0.25,1,160,0.00115186221367372,0.0750713994288046,0.01,0.549059118622493,0.549732938750893,0.000673820128400338
22,6,0.25,1,160,0.00115186221367372,0.0750713994288046,0.1,0.544179433995152,0.544458095415438,0.000278661420285431
22,6,0.25,2,160,0.0750713994288046,0.21515744302617,0.001,0.327213086745258,0.323781730170615,-0.00343135657464266
22,6,0.25,2,160,0.0750713994288046,0.21515744302617,0.01,0.353733925528236,0.349142432325553,-0.00459149320268315
22,6,0.25,2,160,0.0750713994288046,0.21515744302617,0.1,0.393398415633113,0.386640287602416,-0.0067581280306967
22,6,0.25,3,160,0.21515744302617,0.738850760622487,0.001,0.628327666327277,0.632802713955972,0.00447504762869555
22,6,0.25,3,160,0.21515744302617,0.738850760622487,0.01,0.621219703529516,0.627594597473102,0.00637489394358692
22,6,0.25,3,160,0.21515744302617,0.738850760622487,0.1,0.619798885749555,0.632258976613621,0.0124600908640656
22,7,0.75,1,316,0.000109284840006996,0.0892598502069126,0.001,0.780890833494974,0.75534995427579,-0.0255408792191838
22,7,0.75,1,316,0.000109284840006996,0.0892598502069126,0.01,0.789624563397296,0.767711175139031,-0.0219133882582653
22,7,0.75,1,316,0.000109284840006996,0.0892598502069126,0.1,0.812269974692058,0.80033221347063,-0.0119377612214279
22,7,0.75,2,316,0.0892598502069126,0.213115620607936,0.001,0.708250115817583,0.70545904341941,-0.00279107239817311
22,7,0.75,2,316,0.0892598502069126,0.213115620607936,0.01,0.706128935388008,0.703748402606583,-0.00238053278142547
22,7,0.75,2,316,0.0892598502069126,0.213115620607936,0.1,0.699327598530565,0.69590108197588,-0.0034265165546854
22,7,0.75,3,316,0.213115620607936,0.749075450253541,0.001,0.726550781318683,0.718616696869361,-0.00793408444932175
22,7,0.75,3,316,0.213115620607936,0.749075450253541,0.01,0.73836561393323,0.728544913366134,-0.00982070056709561
22,7,0.75,3,316,0.213115620607936,0.749075450253541,0.1,0.728313840741037,0.721970964133267,-0.00634287660777044
22,7,0.5,1,316,0.000109284840006996,0.0892598502069126,0.001,0.776498490271518,0.735844029710887,-0.040654460560631
22,7,0.5,1,316,0.000109284840006996,0.0892598502069126,0.01,0.782547311067919,0.746221726498694,-0.0363255845692246
22,7,0.5,1,316,0.000109284840006996,0.0892598502069126,0.1,0.808662796307263,0.787925486136521,-0.0207373101707413
22,7,0.5,2,316,0.0892598502069126,0.213115620607936,0.001,0.566451909351465,0.548112752180659,-0.0183391571708065
22,7,0.5,2,316,0.0892598502069126,0.213115620607936,0.01,0.563512080237721,0.545660991318742,-0.0178510889189791
22,7,0.5,2,316,0.0892598502069126,0.213115620607936,0.1,0.542144426613194,0.522255915464053,-0.019888511149141
22,7,0.5,3,316,0.213115620607936,0.749075450253541,0.001,0.702043184798409,0.707291488977079,0.00524830417866973
