chr,block_id,m,w_eur,candidate,delta,r2_pre,r2_post
22,8,863,0.75,EUR,0.1,0.655296452894884,0.650476118281711
22,8,863,0.75,AFR,0.001,0.0197829613515809,0.233399519296067
22,8,863,0.75,AFR,0.01,0.0931871290003496,0.476850128358721
22,8,863,0.75,AFR,0.1,0.343305715124828,0.654632537288032
22,8,863,0.5,MELD_lambda0,0.001,0.112863543905906,0.563582239127211
22,8,863,0.5,MELD_lambda0,0.01,0.553947143555403,0.797157325550786
22,8,863,0.5,MELD_lambda0,0.1,0.819874358747174,0.82976312927079
22,8,863,0.5,MELD_lambda1,0.001,0.000220500134989331,0.569007770140173
22,8,863,0.5,MELD_lambda1,0.01,0.637541062848735,0.804113179660484
22,8,863,0.5,MELD_lambda1,0.1,0.824553858442822,0.833507738112828
22,8,863,0.5,EUR,0.001,0.0604597279219369,0.178717282729335
22,8,863,0.5,EUR,0.01,0.329522321894251,0.413740293093842
22,8,863,0.5,EUR,0.1,0.583589774507369,0.589552352084971
22,8,863,0.5,AFR,0.001,0.117456024524277,0.360305348310786
22,8,863,0.5,AFR,0.01,0.0485836105768191,0.629909486153693
22,8,863,0.5,AFR,0.1,0.675000550713871,0.736627808672505
22,8,863,0.5,MELD_pooled,0.001,0.359507938300828,0.613468592312566
22,8,863,0.5,MELD_pooled,0.01,0.737072045155191,0.794754631123805
22,8,863,0.5,MELD_pooled,0.1,0.819528256478561,0.83106776100549
22,8,863,0.25,MELD_lambda0,0.001,0.559033811999625,0.535364701735636
22,8,863,0.25,MELD_lambda0,0.01,0.250681179377633,0.788193473518415
22,8,863,0.25,MELD_lambda0,0.1,0.811757001490198,0.818185869195565
22,8,863,0.25,MELD_lambda1,0.001,0.538337570833111,0.555960800041189
22,8,863,0.25,MELD_lambda1,0.01,0.0663505004453722,0.804556469343914
22,8,863,0.25,MELD_lambda1,0.1,0.819263521028399,0.825087063401562
22,8,863,0.25,EUR,0.001,0.0617647645597618,0.186612019405523
22,8,863,0.25,EUR,0.01,0.343986991412062,0.424656066276952
22,8,863,0.25,EUR,0.1,0.584460412961011,0.593135897071903
22,8,863,0.25,AFR,0.001,0.297458982634061,0.439213919902454
22,8,863,0.25,AFR,0.01,0.0512337690933245,0.704050752396003
22,8,863,0.25,AFR,0.1,0.464381453393918,0.766600802662195
22,9,733,0.75,MELD_lambda0,0.001,0.891077335230975,0.896261015269835
22,9,733,0.75,MELD_lambda0,0.01,0.930018703618549,0.936450522531101
22,9,733,0.75,MELD_lambda0,0.1,0.938313600461143,0.938497571804385
22,9,733,0.75,MELD_lambda1,0.001,0.900537108115395,0.9113248491169
22,9,733,0.75,MELD_lambda1,0.01,0.932368805567266,0.936855291073714
22,9,733,0.75,MELD_lambda1,0.1,0.935847081781949,0.935911789336672
22,9,733,0.75,EUR,0.001,0.154547526058735,0.811408942985972
22,9,733,0.75,EUR,0.01,0.827519093810503,0.867292028226253
22,9,733,0.75,EUR,0.1,0.875237208449843,0.875391125397586
22,9,733,0.75,AFR,0.001,0.08968120522316,0.124120952058433
22,9,733,0.75,AFR,0.01,0.302002518750154,0.319512212768203
22,9,733,0.75,AFR,0.1,0.51402315540877,0.539480705614962
22,9,733,0.5,MELD_lambda0,0.001,0.620664469436314,0.786522776520899
22,9,733,0.5,MELD_lambda0,0.01,0.888450070506664,0.889620874978355
22,9,733,0.5,MELD_lambda0,0.1,0.910636911926857,0.911455256520386
22,9,733,0.5,MELD_lambda1,0.001,0.44515939801219,0.811476543252214
22,9,733,0.5,MELD_lambda1,0.01,0.88935211163346,0.894337438861991
22,9,733,0.5,MELD_lambda1,0.1,0.910710176168333,0.911058905660006
22,9,733,0.5,EUR,0.001,0.0599426354976706,0.631101561742681
22,9,733,0.5,EUR,0.01,0.643730885542396,0.745357430285403
22,9,733,0.5,EUR,0.1,0.761538893911011,0.762438216699119
22,9,733,0.5,AFR,0.001,0.0174889566848213,0.19788383572079
22,9,733,0.5,AFR,0.01,0.385228389522303,0.429020103679915
22,9,733,0.5,AFR,0.1,0.620473335035696,0.644038489095234
22,9,733,0.5,MELD_pooled,0.001,0.828549289771693,0.752131626602165
22,9,733,0.5,MELD_pooled,0.01,0.882628768444057,0.888495940864091
22,9,733,0.5,MELD_pooled,0.1,0.909497533767399,0.910067234374759
22,9,733,0.25,MELD_lambda0,0.001,0.179392185846941,0.617314341416379
22,9,733,0.25,MELD_lambda0,0.01,0.803603140500106,0.799068370087679
22,9,733,0.25,MELD_lambda0,0.1,0.865932037325424,0.868185305722831
22,9,733,0.25,MELD_lambda1,0.001,0.152325387005413,0.651743064941472
22,9,733,0.25,MELD_lambda1,0.01,0.81517832827883,0.814929221463355
22,9,733,0.25,MELD_lambda1,0.1,0.873722082153237,0.875029029048277
22,9,733,0.25,EUR,0.001,0.0410644978139744,0.524072193570003
22,9,733,0.25,EUR,0.01,0.541829585118799,0.671793415220021
22,9,733,0.25,EUR,0.1,0.68928327859484,0.690678636601154
22,9,733,0.25,AFR,0.001,0.0151271237330293,0.2953628805848
22,9,733,0.25,AFR,0.01,0.469316369983392,0.527671781448859
22,9,733,0.25,AFR,0.1,0.696114594891206,0.712087292140355
22,10,689,0.75,MELD_lambda0,0.001,0.982463503244356,0.964903218329193
22,10,689,0.75,MELD_lambda0,0.01,0.944289861028836,0.981518538308103
22,10,689,0.75,MELD_lambda0,0.1,0.982205118625486,0.982396045266837
22,10,689,0.75,MELD_lambda1,0.001,0.939488469409438,0.967525176561148
22,10,689,0.75,MELD_lambda1,0.01,0.97246016430709,0.981306337188858
22,10,689,0.75,MELD_lambda1,0.1,0.98145347256453,0.981591233844199
22,10,689,0.75,EUR,0.001,0.694952799470411,0.904497242570819
22,10,689,0.75,EUR,0.01,0.945268064391468,0.945828610059869
22,10,689,0.75,EUR,0.1,0.960136472250452,0.960268932746311
22,10,689,0.75,AFR,0.001,0.473221150867542,0.653843355574412
22,10,689,0.75,AFR,0.01,0.823697108934593,0.817607879977958
22,10,689,0.75,AFR,0.1,0.858832628511478,0.859022285795465
22,10,689,0.5,MELD_lambda0,0.001,0.942606674117148,0.914189771279826
22,10,689,0.5,MELD_lambda0,0.01,0.831673808346463,0.947140175902776
22,10,689,0.5,MELD_lambda0,0.1,0.956014251641461,0.956001668746451
22,10,689,0.5,MELD_lambda1,0.001,0.909820605978286,0.921574214440909
22,10,689,0.5,MELD_lambda1,0.01,0.926428507253927,0.946502957036493
22,10,689,0.5,MELD_lambda1,0.1,0.955591833714952,0.95553835998433
22,10,689,0.5,EUR,0.001,0.512092031005215,0.716709919457221
