chr,block_id,m,label,kind,r2
22,14,1069,sweep_wEUR_0.10,sweep,0.968382942733264
22,14,1069,sweep_wEUR_0.20,sweep,0.973580917293367
22,14,1069,sweep_wEUR_0.30,sweep,0.976544664000456
22,14,1069,sweep_wEUR_0.40,sweep,0.978391001487916
22,14,1069,sweep_wEUR_0.50,sweep,0.979486497219773
22,14,1069,sweep_wEUR_0.60,sweep,0.97993904822712
22,14,1069,sweep_wEUR_0.70,sweep,0.979676927049436
22,14,1069,sweep_wEUR_0.80,sweep,0.978642707491712
22,14,1069,sweep_wEUR_0.90,sweep,0.9763502311404
22,14,1069,sweep_wEUR_1.00,sweep,0.966118570677155
22,15,710,EUR_baseline,single_pop,0.974353628737678
22,15,710,paperN,true_weights,0.977524869171707
22,15,710,afproj,true_weights,0.977292813033421
22,15,710,equal,wrong_weight,0.97669409831751
22,15,710,scramble_swap_EUR_AFR,wrong_weight,0.946534953573258
22,15,710,scramble_cyclic,wrong_weight,0.947887618216366
22,15,710,sweep_wEUR_0.00,sweep,0.956560903668746
22,15,710,sweep_wEUR_0.10,sweep,0.967193619902247
22,15,710,sweep_wEUR_0.20,sweep,0.970888498749302
22,15,710,sweep_wEUR_0.30,sweep,0.973287810457664
22,15,710,sweep_wEUR_0.40,sweep,0.975185482026306
22,15,710,sweep_wEUR_0.50,sweep,0.97666673748209
22,15,710,sweep_wEUR_0.60,sweep,0.977617473069174
22,15,710,sweep_wEUR_0.70,sweep,0.977832208203587
22,15,710,sweep_wEUR_0.80,sweep,0.977042935138631
22,15,710,sweep_wEUR_0.90,sweep,0.975245094243662
22,15,710,sweep_wEUR_1.00,sweep,0.974353628737678
22,16,417,EUR_baseline,single_pop,0.977274113140963
22,16,417,paperN,true_weights,0.982961969810371
22,16,417,afproj,true_weights,0.982914683873746
22,16,417,equal,wrong_weight,0.982464559155135
22,16,417,scramble_swap_EUR_AFR,wrong_weight,0.935608837778586
22,16,417,scramble_cyclic,wrong_weight,0.955941167083872
22,16,417,sweep_wEUR_0.00,sweep,0.960807150287815
22,16,417,sweep_wEUR_0.10,sweep,0.974856392774112
22,16,417,sweep_wEUR_0.20,sweep,0.979413223158377
22,16,417,sweep_wEUR_0.30,sweep,0.981698585912455
22,16,417,sweep_wEUR_0.40,sweep,0.982987087993039
22,16,417,sweep_wEUR_0.50,sweep,0.983666413894202
22,16,417,sweep_wEUR_0.60,sweep,0.983861053089146
22,16,417,sweep_wEUR_0.70,sweep,0.983570771758727
22,16,417,sweep_wEUR_0.80,sweep,0.98267682132883
22,16,417,sweep_wEUR_0.90,sweep,0.98085111730318
22,16,417,sweep_wEUR_1.00,sweep,0.977274113140963
22,17,615,EUR_baseline,single_pop,0.987172731423816
22,17,615,paperN,true_weights,0.994769334526966
22,17,615,afproj,true_weights,0.994672642808758
22,17,615,equal,wrong_weight,0.990882554442571
22,17,615,scramble_swap_EUR_AFR,wrong_weight,0.935866292517611
22,17,615,scramble_cyclic,wrong_weight,0.959624690864135
22,17,615,sweep_wEUR_0.00,sweep,0.976051329960342
22,17,615,sweep_wEUR_0.10,sweep,0.98453673401163
22,17,615,sweep_wEUR_0.20,sweep,0.988668994794507
22,17,615,sweep_wEUR_0.30,sweep,0.991243964031425
22,17,615,sweep_wEUR_0.40,sweep,0.992940207771875
22,17,615,sweep_wEUR_0.50,sweep,0.994029620408096
22,17,615,sweep_wEUR_0.60,sweep,0.994646052557437
22,17,615,sweep_wEUR_0.70,sweep,0.994843139656261
22,17,615,sweep_wEUR_0.80,sweep,0.994571801646418
22,17,615,sweep_wEUR_0.90,sweep,0.993409599741585
22,17,615,sweep_wEUR_1.00,sweep,0.987172731423816
22,18,507,EUR_baseline,single_pop,0.946225699826545
22,18,507,paperN,true_weights,0.972016606614753
22,18,507,afproj,true_weights,0.971382101956637
22,18,507,equal,wrong_weight,0.959112738708149
22,18,507,scramble_swap_EUR_AFR,wrong_weight,0.883220163682616
22,18,507,scramble_cyclic,wrong_weight,0.895227341147521
