trait,chr,block_id,candidate,delta,r2,m
Asthma,22,8,EAS,0.001,0.483127702155741,647
Asthma,22,8,AFR,0.001,0.284413537891706,647
Asthma,22,8,CSA,0.001,0.544455910045357,647
Asthma,22,8,AMR,0.001,0.634393489115427,647
Asthma,22,8,MELD_lambda0_afproj,0.01,0.873030672274492,647
Asthma,22,8,MELD_lambda0_reportN,0.01,0.873409169946544,647
Asthma,22,8,MELD_lambda0_equal,0.01,0.866908381615946,647
Asthma,22,8,MELD_lambda1_afproj,0.01,0.870573650887215,647
Asthma,22,8,EUR,0.01,0.827305500202978,647
Asthma,22,8,EAS,0.01,0.663768307985305,647
Asthma,22,8,AFR,0.01,0.435847505608797,647
Asthma,22,8,CSA,0.01,0.717772075471366,647
Asthma,22,8,AMR,0.01,0.710036868638545,647
Asthma,22,8,MELD_lambda0_afproj,0.1,0.885754052125046,647
Asthma,22,8,MELD_lambda0_reportN,0.1,0.885464348190017,647
Asthma,22,8,MELD_lambda0_equal,0.1,0.870723791204746,647
Asthma,22,8,MELD_lambda1_afproj,0.1,0.884893389178779,647
Asthma,22,8,EUR,0.1,0.860810295574871,647
Asthma,22,8,EAS,0.1,0.70472412786368,647
Asthma,22,8,AFR,0.1,0.542654476794295,647
Asthma,22,8,CSA,0.1,0.751160770442633,647
Asthma,22,8,AMR,0.1,0.746494028456386,647
Asthma,22,9,MELD_lambda0_afproj,0.001,0.914781148612458,593
Asthma,22,9,MELD_lambda0_reportN,0.001,0.915356956348246,593
Asthma,22,9,MELD_lambda0_equal,0.001,0.894851830640412,593
Asthma,22,9,MELD_lambda1_afproj,0.001,0.909360488182522,593
Asthma,22,9,EUR,0.001,0.789260697641954,593
Asthma,22,9,EAS,0.001,0.618875292648263,593
Asthma,22,9,AFR,0.001,0.390965739567263,593
Asthma,22,9,CSA,0.001,0.683458319540439,593
Asthma,22,9,AMR,0.001,0.615496652521173,593
Asthma,22,9,MELD_lambda0_afproj,0.01,0.931222978680175,593
Asthma,22,9,MELD_lambda0_reportN,0.01,0.931224320797589,593
Asthma,22,9,MELD_lambda0_equal,0.01,0.900624513390738,593
Asthma,22,9,MELD_lambda1_afproj,0.01,0.925173555602959,593
Asthma,22,9,EUR,0.01,0.891960334189438,593
Asthma,22,9,EAS,0.01,0.7806620723527,593
Asthma,22,9,AFR,0.01,0.653798088849508,593
Asthma,22,9,CSA,0.01,0.784958074538182,593
Asthma,22,9,AMR,0.01,0.764366700724889,593
Asthma,22,9,MELD_lambda0_afproj,0.1,0.929599894746445,593
Asthma,22,9,MELD_lambda0_reportN,0.1,0.929729382314181,593
Asthma,22,9,MELD_lambda0_equal,0.1,0.900026420034385,593
Asthma,22,9,MELD_lambda1_afproj,0.1,0.925867924495955,593
Asthma,22,9,EUR,0.1,0.91395494944935,593
Asthma,22,9,EAS,0.1,0.796419352787706,593
Asthma,22,9,AFR,0.1,0.687210954375209,593
Asthma,22,9,CSA,0.1,0.834919046815292,593
Asthma,22,9,AMR,0.1,0.822943112152136,593
Asthma,22,10,MELD_lambda0_afproj,0.001,0.942435600256636,517
Asthma,22,10,MELD_lambda0_reportN,0.001,0.943507477380046,517
Asthma,22,10,MELD_lambda0_equal,0.001,0.922864384213683,517
Asthma,22,10,MELD_lambda1_afproj,0.001,0.934703069336665,517
Asthma,22,10,EUR,0.001,0.902323582150618,517
Asthma,22,10,EAS,0.001,0.592566960497588,517
Asthma,22,10,AFR,0.001,0.653579311285936,517
Asthma,22,10,CSA,0.001,0.870512067803251,517
Asthma,22,10,AMR,0.001,0.855184099439788,517
Asthma,22,10,MELD_lambda0_afproj,0.01,0.960604049339773,517
Asthma,22,10,MELD_lambda0_reportN,0.01,0.961120694720359,517
Asthma,22,10,MELD_lambda0_equal,0.01,0.949497993834637,517
Asthma,22,10,MELD_lambda1_afproj,0.01,0.958812469240537,517
Asthma,22,10,EUR,0.01,0.932561326393139,517
Asthma,22,10,EAS,0.01,0.783577319218687,517
Asthma,22,10,AFR,0.01,0.753898782306469,517
Asthma,22,10,CSA,0.01,0.929973038627809,517
Asthma,22,10,AMR,0.01,0.901473184060466,517
Asthma,22,10,MELD_lambda0_afproj,0.1,0.957600937240829,517
Asthma,22,10,MELD_lambda0_reportN,0.1,0.957895359379962,517
Asthma,22,10,MELD_lambda0_equal,0.1,0.942725001469397,517
Asthma,22,10,MELD_lambda1_afproj,0.1,0.956718676918082,517
Asthma,22,10,EUR,0.1,0.941304243141427,517
Asthma,22,10,EAS,0.1,0.827364329233571,517
Asthma,22,10,AFR,0.1,0.80435819126022,517
Asthma,22,10,CSA,0.1,0.922051162620609,517
Asthma,22,10,AMR,0.1,0.90157600302739,517
Asthma,22,11,MELD_lambda0_afproj,0.001,0.965214938567505,369
Asthma,22,11,MELD_lambda0_reportN,0.001,0.96535765207158,369
Asthma,22,11,MELD_lambda0_equal,0.001,0.906182046448098,369
Asthma,22,11,MELD_lambda1_afproj,0.001,0.953347111976153,369
Asthma,22,11,EUR,0.001,0.93430641645318,369
Asthma,22,11,EAS,0.001,0.653560317968339,369
Asthma,22,11,AFR,0.001,0.609308728026177,369
Asthma,22,11,CSA,0.001,0.809337938836301,369
Asthma,22,11,AMR,0.001,0.847178066212911,369
Asthma,22,11,MELD_lambda0_afproj,0.01,0.976329075146889,369
Asthma,22,11,MELD_lambda0_reportN,0.01,0.976729000807229,369
Asthma,22,11,MELD_lambda0_equal,0.01,0.95851392209005,369
Asthma,22,11,MELD_lambda1_afproj,0.01,0.972168578926818,369
Asthma,22,11,EUR,0.01,0.946159921967278,369
Asthma,22,11,EAS,0.01,0.861348124466853,369
Asthma,22,11,AFR,0.01,0.779859820299653,369
Asthma,22,11,CSA,0.01,0.925460598530826,369
Asthma,22,11,AMR,0.01,0.915789312267031,369
Asthma,22,11,MELD_lambda0_afproj,0.1,0.958868762974023,369
Asthma,22,11,MELD_lambda0_reportN,0.1,0.959386794016156,369
Asthma,22,11,MELD_lambda0_equal,0.1,0.949105507024217,369
Asthma,22,11,MELD_lambda1_afproj,0.1,0.952910959505028,369
