trait,sweep_kind,sweep_id,delta,candidate,mean,sd,lo95,hi95
IPF,EUR_AFR,EUR_AFR_05,0.1,MELD_lambda0_equal,0.788012809771157,0.0151557321234714,0.757463738099904,0.816878164431894
IPF,EUR_AFR,EUR_AFR_05,0.1,MELD_lambda1_true,0.798407718756769,0.0160452575122481,0.7664973414463,0.828416669996529
IPF,EUR_AFR,EUR_AFR_05,0.1,MELD_lambda0_scrambled,0.778985997262553,0.0159420535438489,0.748342044261462,0.810271538526121
IPF,EUR_AFR,EUR_AFR_05,0.1,EUR,0.62468323511971,0.0203987882878664,0.584163103205921,0.665293445510958
IPF,EUR_AFR,EUR_AFR_05,0.1,EAS,0.564368447751625,0.0227044314325532,0.520559937017864,0.611240417409761
IPF,EUR_AFR,EUR_AFR_05,0.1,AFR,0.722853738531734,0.0204783835846859,0.683501215395144,0.763964344751352
IPF,EUR_AFR,EUR_AFR_05,0.1,AMR,0.634379213673146,0.0228985235480689,0.589933661280168,0.680028610459882
IPF,EUR_AFR,EUR_AFR_06,0.001,MELD_lambda0_true,0.773060115912983,0.0179169306300632,0.738151511462426,0.807733143666298
IPF,EUR_AFR,EUR_AFR_06,0.001,MELD_lambda0_equal,0.774309448235819,0.0145173224801523,0.746317435206877,0.802615470034161
IPF,EUR_AFR,EUR_AFR_06,0.001,MELD_lambda1_true,0.771343000873968,0.0177505322523044,0.735723900306679,0.806636975996675
IPF,EUR_AFR,EUR_AFR_06,0.001,MELD_lambda0_scrambled,0.715544222814299,0.0232071118845802,0.670882526041854,0.760814697423125
IPF,EUR_AFR,EUR_AFR_06,0.001,EUR,0.419502968663234,0.0266123000641961,0.370379463969769,0.473527500146019
IPF,EUR_AFR,EUR_AFR_06,0.001,EAS,0.331143677063863,0.0227281137880517,0.290284313333185,0.379103216674669
IPF,EUR_AFR,EUR_AFR_06,0.001,AFR,0.539855759263098,0.0371012803679714,0.473329003005671,0.615375899595973
IPF,EUR_AFR,EUR_AFR_06,0.001,AMR,0.463411785371342,0.0362016466264228,0.394768639846998,0.536275092394391
IPF,EUR_AFR,EUR_AFR_06,0.01,MELD_lambda0_true,0.801501047937727,0.0165304087524126,0.770067811693943,0.835134767916251
IPF,EUR_AFR,EUR_AFR_06,0.01,MELD_lambda0_equal,0.798034314826971,0.0146112955900605,0.769478456909374,0.827061983267364
IPF,EUR_AFR,EUR_AFR_06,0.01,MELD_lambda1_true,0.801108029130476,0.0163266064598083,0.769932773674336,0.832771241115043
IPF,EUR_AFR,EUR_AFR_06,0.01,MELD_lambda0_scrambled,0.761555897633919,0.0195951989656149,0.722983597497894,0.799148369185223
IPF,EUR_AFR,EUR_AFR_06,0.01,EUR,0.595201733403691,0.0248807535898609,0.544589391452077,0.64473808184295
IPF,EUR_AFR,EUR_AFR_06,0.01,EAS,0.528038866203369,0.0220251917352879,0.485793182496347,0.571828265695108
IPF,EUR_AFR,EUR_AFR_06,0.01,AFR,0.641163726163146,0.0309677604808968,0.583031734746195,0.702166642440673
IPF,EUR_AFR,EUR_AFR_06,0.01,AMR,0.587234024110703,0.0329701782302097,0.525764750492326,0.652268119872274
IPF,EUR_AFR,EUR_AFR_06,0.1,MELD_lambda0_true,0.806164703307047,0.0153250659364748,0.775881235911887,0.836226718164879
IPF,EUR_AFR,EUR_AFR_06,0.1,MELD_lambda0_equal,0.793087346995088,0.0162857211787853,0.761409217542266,0.824598452417235
IPF,EUR_AFR,EUR_AFR_06,0.1,MELD_lambda1_true,0.805666711042528,0.016062818989955,0.774208356745571,0.836475358333335
IPF,EUR_AFR,EUR_AFR_06,0.1,MELD_lambda0_scrambled,0.769251065289986,0.0195840914724765,0.729884591239886,0.807282624186196
IPF,EUR_AFR,EUR_AFR_06,0.1,EUR,0.656247653915194,0.0203433201777381,0.615147776285042,0.69573401536747
