candidate,draw,delta,r2,w_eur,chr,block_id,m
EAS,1,0.01,0.341624189564983,0.75,22,7,948
AFR,1,0.01,0.306866312322414,0.75,22,7,948
CSA,1,0.01,0.686923992016969,0.75,22,7,948
AMR,1,0.01,0.500578805766661,0.75,22,7,948
MELD_lambda1,1,0.01,0.0130879890754696,0.5,22,7,948
MELD_pooled,1,0.01,0.631958358470789,0.5,22,7,948
EUR,1,0.01,0.0739169651021404,0.5,22,7,948
EAS,1,0.01,0.239121322064212,0.5,22,7,948
AFR,1,0.01,0.217519123675544,0.5,22,7,948
CSA,1,0.01,0.415174431979636,0.5,22,7,948
AMR,1,0.01,0.41294008110892,0.5,22,7,948
MELD_lambda1,1,0.01,0.598738914512718,0.25,22,7,948
MELD_pooled,1,0.01,0.583068801036955,0.25,22,7,948
EUR,1,0.01,0.0797056849228208,0.25,22,7,948
EAS,1,0.01,0.176156735745004,0.25,22,7,948
AFR,1,0.01,0.184366345073272,0.25,22,7,948
CSA,1,0.01,0.299976767615824,0.25,22,7,948
AMR,1,0.01,0.389414404927347,0.25,22,7,948
MELD_lambda1,1,0.01,0.744819397865869,0.75,22,8,863
MELD_pooled,1,0.01,0.32619393267089,0.75,22,8,863
EUR,1,0.01,0.384266724810821,0.75,22,8,863
EAS,1,0.01,0.316011699364404,0.75,22,8,863
AFR,1,0.01,0.0931871290003496,0.75,22,8,863
CSA,1,0.01,0.402194262524933,0.75,22,8,863
AMR,1,0.01,0.356306993225089,0.75,22,8,863
MELD_lambda1,1,0.01,0.637541062848735,0.5,22,8,863
MELD_pooled,1,0.01,0.00476689228788083,0.5,22,8,863
EUR,1,0.01,0.329522321894251,0.5,22,8,863
EAS,1,0.01,0.245297617215502,0.5,22,8,863
AFR,1,0.01,0.0485836105768191,0.5,22,8,863
CSA,1,0.01,0.313149732303387,0.5,22,8,863
AMR,1,0.01,0.28754578065599,0.5,22,8,863
MELD_lambda1,1,0.01,0.0663505004453722,0.25,22,8,863
MELD_pooled,1,0.01,0.375393980338277,0.25,22,8,863
EUR,1,0.01,0.343986991412062,0.25,22,8,863
EAS,1,0.01,0.271597766266076,0.25,22,8,863
AFR,1,0.01,0.0512337690933245,0.25,22,8,863
CSA,1,0.01,0.304341652156946,0.25,22,8,863
AMR,1,0.01,0.319577476799936,0.25,22,8,863
MELD_lambda1,1,0.01,0.932368805567266,0.75,22,9,733
MELD_pooled,1,0.01,0.898262846866326,0.75,22,9,733
EUR,1,0.01,0.827519093810503,0.75,22,9,733
EAS,1,0.01,0.198788161809777,0.75,22,9,733
AFR,1,0.01,0.302002518750154,0.75,22,9,733
CSA,1,0.01,0.354082658987466,0.75,22,9,733
AMR,1,0.01,0.767170270329247,0.75,22,9,733
MELD_lambda1,1,0.01,0.88935211163346,0.5,22,9,733
MELD_pooled,1,0.01,0.884714317777617,0.5,22,9,733
EUR,1,0.01,0.643730885542396,0.5,22,9,733
EAS,1,0.01,0.218897639231492,0.5,22,9,733
AFR,1,0.01,0.385228389522303,0.5,22,9,733
CSA,1,0.01,0.431578526999924,0.5,22,9,733
AMR,1,0.01,0.673260617669368,0.5,22,9,733
MELD_lambda1,1,0.01,0.81517832827883,0.25,22,9,733
MELD_pooled,1,0.01,0.695876176256692,0.25,22,9,733
EUR,1,0.01,0.541829585118799,0.25,22,9,733
EAS,1,0.01,0.301670806513103,0.25,22,9,733
AFR,1,0.01,0.469316369983392,0.25,22,9,733
CSA,1,0.01,0.362633817319604,0.25,22,9,733
AMR,1,0.01,0.623345615099609,0.25,22,9,733
MELD_lambda1,1,0.01,0.97246016430709,0.75,22,10,689
MELD_pooled,1,0.01,0.973376449776145,0.75,22,10,689
EUR,1,0.01,0.945268064391468,0.75,22,10,689
EAS,1,0.01,0.0831244572196136,0.75,22,10,689
AFR,1,0.01,0.823697108934593,0.75,22,10,689
CSA,1,0.01,0.839166611108288,0.75,22,10,689
AMR,1,0.01,0.684745324674243,0.75,22,10,689
MELD_lambda1,1,0.01,0.926428507253927,0.5,22,10,689
MELD_pooled,1,0.01,0.929946152811434,0.5,22,10,689
EUR,1,0.01,0.832393719307371,0.5,22,10,689
EAS,1,0.01,0.125167237189277,0.5,22,10,689
AFR,1,0.01,0.841711681942762,0.5,22,10,689
CSA,1,0.01,0.782535278688331,0.5,22,10,689
AMR,1,0.01,0.306894536191948,0.5,22,10,689
MELD_lambda1,1,0.01,0.927604386750213,0.25,22,10,689
MELD_pooled,1,0.01,0.894144903103581,0.25,22,10,689
EUR,1,0.01,0.713710854945096,0.25,22,10,689
EAS,1,0.01,0.306949899820695,0.25,22,10,689
AFR,1,0.01,0.854932925844981,0.25,22,10,689
CSA,1,0.01,0.693917944987854,0.25,22,10,689
AMR,1,0.01,0.196570991950154,0.25,22,10,689
MELD_lambda1,1,0.01,0.925583079164648,0.75,22,11,437
MELD_pooled,1,0.01,0.940314837926326,0.75,22,11,437
EUR,1,0.01,0.81440453837402,0.75,22,11,437
EAS,1,0.01,0.697293032083143,0.75,22,11,437
AFR,1,0.01,0.747130279267561,0.75,22,11,437
CSA,1,0.01,0.704925890585574,0.75,22,11,437
AMR,1,0.01,0.00147857858947372,0.75,22,11,437
MELD_lambda1,1,0.01,0.917523217119015,0.5,22,11,437
MELD_pooled,1,0.01,0.93435904934739,0.5,22,11,437
EUR,1,0.01,0.62378876864631,0.5,22,11,437
EAS,1,0.01,0.24729454679812,0.5,22,11,437
AFR,1,0.01,0.839878592092902,0.5,22,11,437
CSA,1,0.01,0.526913502693843,0.5,22,11,437
AMR,1,0.01,0.00979238600965795,0.5,22,11,437
MELD_lambda1,1,0.01,0.890909417602675,0.25,22,11,437
MELD_pooled,1,0.01,0.902285860668996,0.25,22,11,437
EUR,1,0.01,0.546555078819997,0.25,22,11,437
EAS,1,0.01,0.0621465528838039,0.25,22,11,437
AFR,1,0.01,0.884676884882587,0.25,22,11,437
CSA,1,0.01,0.465222774144817,0.25,22,11,437
AMR,1,0.01,0.00311458571976459,0.25,22,11,437
MELD_lambda1,1,0.01,0.906123097923299,0.75,22,12,1159
MELD_pooled,1,0.01,0.706053870303653,0.75,22,12,1159
EUR,1,0.01,0.739250756657652,0.75,22,12,1159
EAS,1,0.01,0.376417606360001,0.75,22,12,1159
AFR,1,0.01,0.314186070941178,0.75,22,12,1159
CSA,1,0.01,0.406250504509923,0.75,22,12,1159
AMR,1,0.01,0.750044257676847,0.75,22,12,1159
MELD_lambda1,1,0.01,0.815692457472013,0.5,22,12,1159
MELD_pooled,1,0.01,0.749536992107853,0.5,22,12,1159
EUR,1,0.01,0.471081128017002,0.5,22,12,1159
EAS,1,0.01,0.21613332064421,0.5,22,12,1159
AFR,1,0.01,0.415542283663075,0.5,22,12,1159
CSA,1,0.01,0.189709020298226,0.5,22,12,1159
AMR,1,0.01,0.280055995483926,0.5,22,12,1159
MELD_lambda1,1,0.01,0.252211689078358,0.25,22,12,1159
MELD_pooled,1,0.01,0.0626486397713326,0.25,22,12,1159
EUR,1,0.01,0.368819704704363,0.25,22,12,1159
EAS,1,0.01,0.111381069952642,0.25,22,12,1159
AFR,1,0.01,0.483586412083978,0.25,22,12,1159
CSA,1,0.01,0.137754098089937,0.25,22,12,1159
AMR,1,0.01,0.166931562607174,0.25,22,12,1159
MELD_lambda1,1,0.01,0.88706160927631,0.75,22,13,618
MELD_pooled,1,0.01,0.711847540993436,0.75,22,13,618
EUR,1,0.01,0.58618533378625,0.75,22,13,618
EAS,1,0.01,0.449666735229338,0.75,22,13,618
AFR,1,0.01,0.816563409034465,0.75,22,13,618
CSA,1,0.01,0.521253592211694,0.75,22,13,618
AMR,1,0.01,0.771266168921865,0.75,22,13,618
MELD_lambda1,1,0.01,0.827660180107321,0.5,22,13,618
MELD_pooled,1,0.01,0.827312380101642,0.5,22,13,618
EUR,1,0.01,0.328730043406866,0.5,22,13,618
EAS,1,0.01,0.368344136660542,0.5,22,13,618
AFR,1,0.01,0.83968781747186,0.5,22,13,618
CSA,1,0.01,0.269540236161155,0.5,22,13,618
AMR,1,0.01,0.631984488977522,0.5,22,13,618
MELD_lambda1,1,0.01,0.377817701163956,0.25,22,13,618
MELD_pooled,1,0.01,0.825274615694404,0.25,22,13,618
EUR,1,0.01,0.236369844630437,0.25,22,13,618
EAS,1,0.01,0.329811535739867,0.25,22,13,618
AFR,1,0.01,0.854063696026462,0.25,22,13,618
CSA,1,0.01,0.198864617803048,0.25,22,13,618
AMR,1,0.01,0.562995069044746,0.25,22,13,618
MELD_lambda1,1,0.01,0.923450111981458,0.75,22,14,1069
MELD_pooled,1,0.01,0.912299980439266,0.75,22,14,1069
EUR,1,0.01,0.279876712475805,0.75,22,14,1069
EAS,1,0.01,0.0417435134570342,0.75,22,14,1069
AFR,1,0.01,1.85871967161954e-09,0.75,22,14,1069
CSA,1,0.01,0.727267751416367,0.75,22,14,1069
AMR,1,0.01,0.728142946478783,0.75,22,14,1069
MELD_lambda1,1,0.01,0.809993415625594,0.5,22,14,1069
MELD_pooled,1,0.01,0.832306418181613,0.5,22,14,1069
EUR,1,0.01,0.0991915564223052,0.5,22,14,1069
EAS,1,0.01,0.0436448555504844,0.5,22,14,1069
AFR,1,0.01,0.00284625733886814,0.5,22,14,1069
CSA,1,0.01,0.432754124289696,0.5,22,14,1069
AMR,1,0.01,0.512475964686151,0.5,22,14,1069
MELD_lambda1,1,0.01,0.728154679172573,0.25,22,14,1069
MELD_pooled,1,0.01,0.745365662891347,0.25,22,14,1069
EUR,1,0.01,0.0362906032346336,0.25,22,14,1069
EAS,1,0.01,0.0991262080972021,0.25,22,14,1069
AFR,1,0.01,0.00714070013899135,0.25,22,14,1069
CSA,1,0.01,0.281760922668574,0.25,22,14,1069
AMR,1,0.01,0.378954814413885,0.25,22,14,1069
MELD_lambda1,1,0.01,0.941496958036001,0.75,22,15,709
MELD_pooled,1,0.01,0.928485944727418,0.75,22,15,709
EUR,1,0.01,0.889897514911016,0.75,22,15,709
EAS,1,0.01,0.793430062198971,0.75,22,15,709
AFR,1,0.01,0.667523124674169,0.75,22,15,709
CSA,1,0.01,0.787956538887261,0.75,22,15,709
AMR,1,0.01,0.686448498197942,0.75,22,15,709
MELD_lambda1,1,0.01,0.807441031500123,0.5,22,15,709
MELD_pooled,1,0.01,0.847819180103321,0.5,22,15,709
EUR,1,0.01,0.66612264230647,0.5,22,15,709
EAS,1,0.01,0.617364696598903,0.5,22,15,709
AFR,1,0.01,0.630572141043095,0.5,22,15,709
CSA,1,0.01,0.630415263568646,0.5,22,15,709
AMR,1,0.01,0.232348029547617,0.5,22,15,709
MELD_lambda1,1,0.01,0.72680526139759,0.25,22,15,709
MELD_pooled,1,0.01,0.718326137867634,0.25,22,15,709
EUR,1,0.01,0.444039721453918,0.25,22,15,709
EAS,1,0.01,0.418367657039865,0.25,22,15,709
AFR,1,0.01,0.57987074586089,0.25,22,15,709
CSA,1,0.01,0.454236893855057,0.25,22,15,709
AMR,1,0.01,0.039323921611455,0.25,22,15,709
MELD_lambda1,1,0.01,0.975591545566408,0.75,22,16,417
MELD_pooled,1,0.01,0.971127957371152,0.75,22,16,417
EUR,1,0.01,0.968996041924466,0.75,22,16,417
EAS,1,0.01,0.744136013200459,0.75,22,16,417
AFR,1,0.01,0.774723701080368,0.75,22,16,417
CSA,1,0.01,0.42925294286028,0.75,22,16,417
AMR,1,0.01,0.934123928203489,0.75,22,16,417
MELD_lambda1,1,0.01,0.914713175980592,0.5,22,16,417
MELD_pooled,1,0.01,0.916954014331438,0.5,22,16,417
EUR,1,0.01,0.847183490390061,0.5,22,16,417
EAS,1,0.01,0.530244577357673,0.5,22,16,417
AFR,1,0.01,0.761200191813295,0.5,22,16,417
CSA,1,0.01,0.0406950448093864,0.5,22,16,417
AMR,1,0.01,0.824816207388379,0.5,22,16,417
MELD_lambda1,1,0.01,0.828370495820163,0.25,22,16,417
MELD_pooled,1,0.01,0.773070197163182,0.25,22,16,417
EUR,1,0.01,0.693117260011829,0.25,22,16,417
EAS,1,0.01,0.333160471527523,0.25,22,16,417
AFR,1,0.01,0.698719195755703,0.25,22,16,417
CSA,1,0.01,0.00402719658438636,0.25,22,16,417
AMR,1,0.01,0.682198633847034,0.25,22,16,417
MELD_lambda1,1,0.01,0.95981455185119,0.75,22,17,615
MELD_pooled,1,0.01,0.959513511688204,0.75,22,17,615
EUR,1,0.01,0.88725669827012,0.75,22,17,615
EAS,1,0.01,0.403764889227581,0.75,22,17,615
AFR,1,0.01,0.708146919081766,0.75,22,17,615
CSA,1,0.01,0.925238407557897,0.75,22,17,615
AMR,1,0.01,0.94943765618631,0.75,22,17,615
MELD_lambda1,1,0.01,0.947549177783262,0.5,22,17,615
MELD_pooled,1,0.01,0.905848736751518,0.5,22,17,615
EUR,1,0.01,0.659177291728824,0.5,22,17,615
EAS,1,0.01,0.320082047672431,0.5,22,17,615
AFR,1,0.01,0.731770572781726,0.5,22,17,615
CSA,1,0.01,0.823094293048084,0.5,22,17,615
AMR,1,0.01,0.876998460038571,0.5,22,17,615
MELD_lambda1,1,0.01,0.00502790113204059,0.25,22,17,615
MELD_pooled,1,0.01,0.860563566435978,0.25,22,17,615
EUR,1,0.01,0.439122955011568,0.25,22,17,615
EAS,1,0.01,0.405898533457837,0.25,22,17,615
AFR,1,0.01,0.771101963295832,0.25,22,17,615
CSA,1,0.01,0.695886499061217,0.25,22,17,615
AMR,1,0.01,0.753637152282975,0.25,22,17,615
MELD_lambda1,1,0.01,0.153780476794268,0.75,22,18,507
MELD_pooled,1,0.01,0.942071746771785,0.75,22,18,507
EUR,1,0.01,0.869642803115375,0.75,22,18,507
EAS,1,0.01,0.261759185763383,0.75,22,18,507
AFR,1,0.01,0.704428159508651,0.75,22,18,507
CSA,1,0.01,0.838391593481567,0.75,22,18,507
AMR,1,0.01,0.750302322706625,0.75,22,18,507
MELD_lambda1,1,0.01,0.916929474179678,0.5,22,18,507
MELD_pooled,1,0.01,0.945403946789477,0.5,22,18,507
EUR,1,0.01,0.747348177654712,0.5,22,18,507
EAS,1,0.01,0.202676126262026,0.5,22,18,507
AFR,1,0.01,0.713079386396197,0.5,22,18,507
CSA,1,0.01,0.671381818138314,0.5,22,18,507
AMR,1,0.01,0.50334851841226,0.5,22,18,507
MELD_lambda1,1,0.01,0.886141054946359,0.25,22,18,507
MELD_pooled,1,0.01,0.883477534698886,0.25,22,18,507
EUR,1,0.01,0.694078154866229,0.25,22,18,507
EAS,1,0.01,0.16236780684413,0.25,22,18,507
AFR,1,0.01,0.731221354299001,0.25,22,18,507
CSA,1,0.01,0.557859792729044,0.25,22,18,507
AMR,1,0.01,0.319168750950871,0.25,22,18,507
MELD_lambda1,1,0.01,0.809813392797377,0.75,22,19,829
MELD_pooled,1,0.01,0.31207905536339,0.75,22,19,829
EUR,1,0.01,0.192138948000468,0.75,22,19,829
EAS,1,0.01,0.019369260884141,0.75,22,19,829
