chr,block_id,m,w_eur,lambda,delta,r2
22,6,480,0.25,0,0.1,0.783417515235653
22,6,480,0.25,0.25,0.001,0.682074668533211
22,6,480,0.25,0.25,0.01,0.783143573756069
22,6,480,0.25,0.25,0.1,0.781283017792356
22,6,480,0.25,0.5,0.001,0.679668574733273
22,6,480,0.25,0.5,0.01,0.781983261017534
22,6,480,0.25,0.5,0.1,0.779319543839518
22,6,480,0.25,0.75,0.001,0.677349202597303
22,6,480,0.25,0.75,0.01,0.780760506898712
22,6,480,0.25,0.75,0.1,0.777404812776648
22,6,480,0.25,1,0.001,0.675046325558659
22,6,480,0.25,1,0.01,0.779441130755736
22,6,480,0.25,1,0.1,0.775541888618391
22,7,948,0.75,0,0.001,0.577852520931951
22,7,948,0.75,0,0.01,0.765282379471567
22,7,948,0.75,0,0.1,0.795215088240834
22,7,948,0.75,0.25,0.001,0.576679218622988
22,7,948,0.75,0.25,0.01,0.766448449342251
22,7,948,0.75,0.25,0.1,0.798986014468883
22,7,948,0.75,0.5,0.001,0.576636389454417
22,7,948,0.75,0.5,0.01,0.766286009291985
22,7,948,0.75,0.5,0.1,0.800850191563363
22,7,948,0.75,0.75,0.001,0.576132787714247
22,7,948,0.75,0.75,0.01,0.765406421947024
22,7,948,0.75,0.75,0.1,0.80192284087198
22,7,948,0.75,1,0.001,0.575395216615345
22,7,948,0.75,1,0.01,0.764157164923495
22,7,948,0.75,1,0.1,0.802543757669602
22,7,948,0.5,0,0.001,0.500309957089164
22,7,948,0.5,0,0.01,0.654621977405794
22,7,948,0.5,0,0.1,0.683602165433593
22,7,948,0.5,0.25,0.001,0.509079963567709
22,7,948,0.5,0.25,0.01,0.661778739725183
22,7,948,0.5,0.25,0.1,0.688147351977407
22,7,948,0.5,0.5,0.001,0.517988908699013
22,7,948,0.5,0.5,0.01,0.666677493655279
22,7,948,0.5,0.5,0.1,0.690662262971822
22,7,948,0.5,0.75,0.001,0.52491989164768
22,7,948,0.5,0.75,0.01,0.669743865593236
22,7,948,0.5,0.75,0.1,0.692189854052174
22,7,948,0.5,1,0.001,0.530423471019332
22,7,948,0.5,1,0.01,0.671579241216699
22,7,948,0.5,1,0.1,0.693109835255746
22,7,948,0.25,0,0.001,0.452899314536306
22,7,948,0.25,0,0.01,0.608403812555837
22,7,948,0.25,0,0.1,0.654971442009859
