trait,sweep_kind,sweep_id,mean_diff,lo95,hi95,eff_groups,mean_B_diag
IPF,EUR_AFR,EUR_AFR_08,0.00137256988036076,-0.010819249579867,0.0130996558101494,1.72413793103448,0.03086364274126
IPF,EUR_AFR,EUR_AFR_09,0.00692812842704297,-0.00317184560609237,0.0169941126187786,1.47058823529412,0.0235151563742934
IPF,EUR_AFR,EUR_AFR_10,-0.0033149007995194,-0.0114888485084081,0.00601674369581365,1.21951219512195,0.01322727546054
IPF,EUR_AFR,EUR_AFR_11,0.0243596955088085,0.0141932917933732,0.0357098543658995,1,0
IPF,EUR_EAS,EUR_EAS_01,0.0526802404330964,0.0372316329242239,0.0685530545466985,1,0
IPF,EUR_EAS,EUR_EAS_02,0.0323238537748263,0.0217528209121472,0.0413120045202094,1.21951219512195,0.0132446127632401
IPF,EUR_EAS,EUR_EAS_03,0.0285397352132935,0.0151336919839449,0.0434830552759807,1.47058823529412,0.0235459782457601
IPF,EUR_EAS,EUR_EAS_04,0.0180811023461246,0.00845973633487322,0.0278218506711131,1.72413793103448,0.0309040964475602
IPF,EUR_EAS,EUR_EAS_05,0.0174121830754182,0.00970618956847412,0.0264454766685994,1.92307692307692,0.0353189673686402
IPF,EUR_EAS,EUR_EAS_06,0.0145536216632306,0.00624929491762551,0.0234493476758426,2,0.0367905910090002
IPF,EUR_EAS,EUR_EAS_07,0.0150838446079678,0.00294083980552958,0.0277960888099387,1.92307692307692,0.0353189673686402
IPF,EUR_EAS,EUR_EAS_08,0.0218813776355796,0.0133344425648574,0.0309655590836973,1.72413793103448,0.0309040964475602
IPF,EUR_EAS,EUR_EAS_09,0.0219002708822067,0.0130004690968609,0.0323733298780595,1.47058823529412,0.0235459782457601
IPF,EUR_EAS,EUR_EAS_10,0.0200556967287767,0.0109814405144232,0.0295071761099154,1.21951219512195,0.0132446127632401
IPF,EUR_EAS,EUR_EAS_11,0.0222814293967992,0.00823223707069616,0.0360495534367063,1,0
IPF,multi,equal,0,0,0,4,0.0473286544016285
IPF,multi,reported,0.0198716055134002,0.0136163036611438,0.0269124180406969,1.55795668642643,0.0252249100746359
IPF,multi,w25rest,0,0,0,4,0.0473286544016285
IPF,multi,w50rest,0.0038135744833666,0.000442448096970733,0.00731368033205358,3,0.0386916521932226
Stroke,EUR_AFR,EUR_AFR_01,-0.0496942423088938,-0.0755207368735209,-0.0225859303165218,1,0
Stroke,EUR_AFR,EUR_AFR_02,-0.000309242830941205,-0.0228333030091045,0.0210522201707802,1.21951219512195,0.012599764130613
Stroke,EUR_AFR,EUR_AFR_03,-0.0084450439583744,-0.0271966855782507,0.0107080750545646,1.47058823529412,0.0223995806766453
Stroke,EUR_AFR,EUR_AFR_04,-0.00142490380169602,-0.0151016682989756,0.0130072312268751,1.72413793103448,0.029399449638097
Stroke,EUR_AFR,EUR_AFR_05,-0.0107502641645981,-0.0220227014177491,0.000593747498668001,1.92307692307692,0.033599371014968
Stroke,EUR_AFR,EUR_AFR_06,-0.0183572063015925,-0.0326000534916642,-0.00506045760593667,2,0.0349993448072583
Stroke,EUR_AFR,EUR_AFR_07,-0.00428893553561394,-0.0145150542905912,0.00560973084240328,1.92307692307692,0.033599371014968
Stroke,EUR_AFR,EUR_AFR_08,-0.00517520956247445,-0.0146412766002973,0.00407148085995075,1.72413793103448,0.029399449638097
Stroke,EUR_AFR,EUR_AFR_09,0.00393517270362801,-0.00588286515681979,0.0122887610252634,1.47058823529412,0.0223995806766453
Stroke,EUR_AFR,EUR_AFR_10,0.0148387962077174,0.00672992576782399,0.0235848015669496,1.21951219512195,0.012599764130613
Stroke,EUR_AFR,EUR_AFR_11,0.0175483049196265,0.00799218657660881,0.0269939196350195,1,0
Stroke,EUR_EAS,EUR_EAS_01,0.028238081943658,0.0179303662406614,0.0414676427993001,1,0
Stroke,EUR_EAS,EUR_EAS_02,0.0353076129474743,0.0264466763315502,0.0439052796832141,1.21951219512195,0.0130530190151814
Stroke,EUR_EAS,EUR_EAS_03,0.0394396363762138,0.0286736787098013,0.0503145337175907,1.47058823529412,0.0232053671381002
Stroke,EUR_EAS,EUR_EAS_04,0.0261742860266445,0.0175258104486177,0.0341176626409087,1.72413793103448,0.0304570443687565
Stroke,EUR_EAS,EUR_EAS_05,0.0196124947304734,0.0119572586445052,0.0282760041874127,1.92307692307692,0.0348080507071503
Stroke,EUR_EAS,EUR_EAS_06,0.0212693206466696,0.0150150392655273,0.0277360689876277,2,0.0362583861532816
Stroke,EUR_EAS,EUR_EAS_07,0.016244058995011,0.00876749815887177,0.0245389638472996,1.92307692307692,0.0348080507071503
Stroke,EUR_EAS,EUR_EAS_08,0.0119842175575724,0.00313780904738046,0.0217703796432593,1.72413793103448,0.0304570443687565
Stroke,EUR_EAS,EUR_EAS_09,0.00606633983125342,-0.0032182156917171,0.0147024239267493,1.47058823529412,0.0232053671381002
Stroke,EUR_EAS,EUR_EAS_10,0.011776740246382,0.00614276061806762,0.0181946534276917,1.21951219512195,0.0130530190151814
Stroke,EUR_EAS,EUR_EAS_11,0.0201531372409314,0.0102414918510654,0.0302239148304568,1,0
Stroke,multi,equal,0,0,0,4,0.0456341487509252
