trait,sweep_kind,sweep_id,delta,comparison,mean_diff,sd,lo95,hi95
IPF,EUR_AFR,EUR_AFR_04,0.1,MELD_lambda0_true − AMR,0.168390488944445,0.0144053839751028,0.140515978816738,0.197933032792103
IPF,EUR_AFR,EUR_AFR_04,0.1,MELD_lambda0_true − MELD_lambda0_equal,0.0134276012251742,0.00548214472414386,0.00190251590322655,0.0238250494410218
IPF,EUR_AFR,EUR_AFR_04,0.1,MELD_lambda0_true − MELD_lambda0_scrambled,0.0198131721141669,0.00499617789776793,0.00930260358514937,0.0288507149260395
IPF,EUR_AFR,EUR_AFR_04,0.1,MELD_lambda1_true − MELD_lambda0_true,-0.00312074194115642,0.00129491916529063,-0.00561479885245033,-0.000583706053662384
IPF,EUR_AFR,EUR_AFR_05,0.001,MELD_lambda0_true − EUR,0.362579923182391,0.0200397950763458,0.323893141533622,0.402167020726977
IPF,EUR_AFR,EUR_AFR_05,0.001,MELD_lambda0_true − EAS,0.449571455959984,0.0239795420059182,0.401627728774915,0.495705927602877
IPF,EUR_AFR,EUR_AFR_05,0.001,MELD_lambda0_true − AFR,0.174944895057972,0.0184087730489761,0.13662103307143,0.208770869072795
IPF,EUR_AFR,EUR_AFR_05,0.001,MELD_lambda0_true − AMR,0.308721987693955,0.0178946056836073,0.273080750031771,0.34176174253186
IPF,EUR_AFR,EUR_AFR_05,0.001,MELD_lambda0_true − MELD_lambda0_equal,-0.00551889327862654,0.00867292902048687,-0.0229405426572713,0.0112046927467326
IPF,EUR_AFR,EUR_AFR_05,0.001,MELD_lambda0_true − MELD_lambda0_scrambled,0.0389224380936229,0.00745241357470795,0.0246316851047574,0.0535144357394042
IPF,EUR_AFR,EUR_AFR_05,0.001,MELD_lambda1_true − MELD_lambda0_true,-0.00178719256472552,0.00301296086043307,-0.00727533869700207,0.0044644674791982
IPF,EUR_AFR,EUR_AFR_05,0.01,MELD_lambda0_true − EUR,0.232970593070465,0.0141655179030328,0.203649606813985,0.258639830313394
IPF,EUR_AFR,EUR_AFR_05,0.01,MELD_lambda0_true − EAS,0.309197065612067,0.0189742461224661,0.274520528686806,0.34810115265587
IPF,EUR_AFR,EUR_AFR_05,0.01,MELD_lambda0_true − AFR,0.110933923114422,0.0124619213287836,0.0851818882742243,0.133913567932796
IPF,EUR_AFR,EUR_AFR_05,0.01,MELD_lambda0_true − AMR,0.219390383292419,0.0163009572544008,0.186319978387092,0.249380330739288
IPF,EUR_AFR,EUR_AFR_05,0.01,MELD_lambda0_true − MELD_lambda0_equal,0.00421752964769622,0.00523886524626375,-0.00554062641242661,0.0144546315596386
IPF,EUR_AFR,EUR_AFR_05,0.01,MELD_lambda0_true − MELD_lambda0_scrambled,0.0244404911868178,0.00460835552959823,0.0153743746675404,0.0334055844479436
IPF,EUR_AFR,EUR_AFR_05,0.01,MELD_lambda1_true − MELD_lambda0_true,0.000549713025054599,0.00235384562705817,-0.00380375308489155,0.00556121990556975
IPF,EUR_AFR,EUR_AFR_05,0.1,MELD_lambda0_true − EUR,0.174249078022974,0.0140681732539273,0.146214081984216,0.200074826297736
IPF,EUR_AFR,EUR_AFR_05,0.1,MELD_lambda0_true − EAS,0.234563865391059,0.0153693537155853,0.205442334983872,0.264939058660481
IPF,EUR_AFR,EUR_AFR_05,0.1,MELD_lambda0_true − AFR,0.0760785746109502,0.00857133437929052,0.0585302464425221,0.0914648776665079
IPF,EUR_AFR,EUR_AFR_05,0.1,MELD_lambda0_true − AMR,0.164553099469538,0.0127018882239604,0.139619359045751,0.189091525474678
IPF,EUR_AFR,EUR_AFR_05,0.1,MELD_lambda0_true − MELD_lambda0_equal,0.0109195033715268,0.00436747021470636,0.002095716053506,0.0194846939598132
IPF,EUR_AFR,EUR_AFR_05,0.1,MELD_lambda0_true − MELD_lambda0_scrambled,0.019946315880131,0.00341381656890638,0.013655645828887,0.0266183905888816
IPF,EUR_AFR,EUR_AFR_05,0.1,MELD_lambda1_true − MELD_lambda0_true,-0.000524594385914834,0.00153229079564192,-0.003435812213095,0.00255788595129062
IPF,EUR_AFR,EUR_AFR_06,0.001,MELD_lambda0_true − EUR,0.353557147249749,0.0183934690014527,0.31702857123922,0.388217618686183
IPF,EUR_AFR,EUR_AFR_06,0.001,MELD_lambda0_true − EAS,0.44191643884912,0.0191430754748979,0.403962289796449,0.478598373732761
IPF,EUR_AFR,EUR_AFR_06,0.001,MELD_lambda0_true − AFR,0.233204356649885,0.0244156026843514,0.182347809433271,0.278781358466448
IPF,EUR_AFR,EUR_AFR_06,0.001,MELD_lambda0_true − AMR,0.309648330541641,0.0243284841392179,0.260530704123325,0.356088672438112
