trait,delta,candidate,mean,sd,lo95,hi95
Gout,0.01,MELD_lambda0_equal,0.879792551426154,0.0100369427449469,0.8594228143181,0.898102927528574
Gout,0.01,MELD_lambda1_afproj,0.880462456933817,0.00990979378193134,0.859723826601239,0.898337271401098
Gout,0.01,EUR,0.839316490245791,0.0116284133951793,0.816112769224991,0.86160160405966
Gout,0.01,EAS,0.808093769619218,0.0133144783336955,0.782873145879501,0.83451450912718
Gout,0.01,AFR,0.722722781853021,0.015342435043479,0.692718508177039,0.751834168969374
Gout,0.01,CSA,0.833677050062722,0.0128257708051163,0.806935002572364,0.857584944902935
Gout,0.01,AMR,0.832068808282212,0.0187645221930156,0.792177335075682,0.86489865481186
Gout,0.01,MID,0.832905680235093,0.013834714876976,0.805854163580605,0.858999419699777
Gout,0.1,MELD_lambda0_afproj,0.884025745795899,0.00955717357667066,0.864564723317086,0.902482717875322
Gout,0.1,MELD_lambda0_reportN,0.884011241199441,0.00976387157347567,0.864038430011186,0.902128406472304
Gout,0.1,MELD_lambda0_equal,0.875662257274352,0.0105047553984994,0.854418578133238,0.895331435990741
Gout,0.1,MELD_lambda1_afproj,0.881441616364414,0.00974663872898937,0.860940367001882,0.899767675419328
Gout,0.1,EUR,0.863279355386472,0.0108766498424242,0.84022967716206,0.882352546029957
Gout,0.1,EAS,0.830804211192096,0.0123016577304309,0.805669412164481,0.853708968489705
Gout,0.1,AFR,0.746421193652969,0.0153286283242779,0.717655431765671,0.776999342195038
Gout,0.1,CSA,0.851906306438445,0.0116439209107318,0.827437385426173,0.87349153282888
Gout,0.1,AMR,0.851879413718791,0.0141709655155755,0.821934116663193,0.877033884503386
Gout,0.1,MID,0.849835954491833,0.012388053192505,0.823923997879744,0.873043990253447
HF,0.001,MELD_lambda0_afproj,0.834384781089252,0.0165879988067119,0.801346934921557,0.867347803364308
HF,0.001,MELD_lambda0_reportN,0.836632157688268,0.0159186346387938,0.805243190340869,0.867010590620772
HF,0.001,MELD_lambda0_equal,0.878149339346017,0.00865510926208926,0.860670546590917,0.894765785563424
HF,0.001,MELD_lambda1_afproj,0.831511636473844,0.0168514731388797,0.797927591246501,0.863794744506119
HF,0.001,EUR,0.709632070877111,0.0182758300240599,0.675975004273921,0.74767145453143
HF,0.001,EAS,0.633697383449392,0.019321324410525,0.59866175454162,0.673918793610749
