mix,ld_pop,gwas,pgs_method,model,r,se,p,n
eur50,EAS,mix_eur50_ldeas,ptclump,mix_eur50_ldeas_0_1e-04,0.292249023353974,0.0343528279034783,9.13999635126449e-17,777
eur50,EAS,mix_eur50_ldeas,ptclump,mix_eur50_ldeas_0_0.01,0.304935100751275,0.0342102528364705,3.49285287010912e-18,777
eur50,EAS,mix_eur50_ldeas,ptclump,mix_eur50_ldeas_0_0.1,0.300464734843956,0.0342612532606046,1.12413767867986e-17,777
eur50,EAS,mix_eur50_ldeas,ptclump,mix_eur50_ldeas_0_0.2,0.29375972335558,0.0343361978644386,6.24876867631471e-17,777
eur50,EAS,mix_eur50_ldeas,ptclump,mix_eur50_ldeas_0_0.3,0.294810272492095,0.0343245779192269,4.79031785236507e-17,777
eur50,EAS,mix_eur50_ldeas,ptclump,mix_eur50_ldeas_0_0.4,0.295603836430685,0.0343157703215011,3.91609360966551e-17,777
eur50,EAS,mix_eur50_ldeas,ptclump,mix_eur50_ldeas_0_0.5,0.296038715997326,0.0343109326812739,3.50574273111858e-17,777
eur50,EAS,mix_eur50_ldeas,ptclump,mix_eur50_ldeas_0_1,0.297044409887926,0.0342997153859034,2.71201406833425e-17,777
eur50,EAS,mix_eur50_ldeas,dbslmm,mix_eur50_ldeas_DBSLMM_0.8,0.289665334921808,0.0343810524289486,1.74226494773648e-16,777
eur50,EAS,mix_eur50_ldeas,dbslmm,mix_eur50_ldeas_DBSLMM_1,0.286805864513969,0.0344119708368749,3.53054651024503e-16,777
eur50,EAS,mix_eur50_ldeas,dbslmm,mix_eur50_ldeas_DBSLMM_1.2,0.288281889414867,0.0343960528912444,2.45442923435573e-16,777
eur50,EAS,mix_eur50_ldeas,quickprs,mix_eur50_ldeas_quickprs,0.150655743045652,0.0355110677356459,2.47775932769017e-05,777
eur50,CSA,mix_eur50_ldcsa,ptclump,mix_eur50_ldcsa_0_5e-08,0.26875403805636,0.0345994828793801,2.53655768305116e-14,777
eur50,CSA,mix_eur50_ldcsa,ptclump,mix_eur50_ldcsa_0_1e-06,0.266912756205258,0.0346178693475086,3.85428951158947e-14,777
eur50,CSA,mix_eur50_ldcsa,ptclump,mix_eur50_ldcsa_0_1e-04,0.268645426395725,0.0346005712217748,2.6001688240307e-14,777
eur50,CSA,mix_eur50_ldcsa,ptclump,mix_eur50_ldcsa_0_0.01,0.275924865236346,0.0345265763695027,4.82176730737059e-15,777
eur50,CSA,mix_eur50_ldcsa,ptclump,mix_eur50_ldcsa_0_0.1,0.259608117660877,0.0346894727034675,1.96353686120725e-13,777
eur50,CSA,mix_eur50_ldcsa,ptclump,mix_eur50_ldcsa_0_0.2,0.252714169189233,0.0347550980004465,8.71848290559048e-13,777
eur50,CSA,mix_eur50_ldcsa,ptclump,mix_eur50_ldcsa_0_0.3,0.252530248500494,0.0347568229290174,9.06670937170873e-13,777
eur50,CSA,mix_eur50_ldcsa,ptclump,mix_eur50_ldcsa_0_0.4,0.254018780388054,0.0347428239833163,6.59782662858494e-13,777
eur50,CSA,mix_eur50_ldcsa,ptclump,mix_eur50_ldcsa_0_0.5,0.253367945987309,0.0347489555924959,7.58350787487377e-13,777
eur50,CSA,mix_eur50_ldcsa,ptclump,mix_eur50_ldcsa_0_1,0.252928745990271,0.0347530838631956,8.32875130907859e-13,777
eur50,CSA,mix_eur50_ldcsa,dbslmm,mix_eur50_ldcsa_DBSLMM_0.8,0.268756896374521,0.0345994542312193,2.53490443754955e-14,777
eur50,CSA,mix_eur50_ldcsa,dbslmm,mix_eur50_ldcsa_DBSLMM_1,0.267029364419057,0.0346167089719542,3.75386663398141e-14,777
eur50,CSA,mix_eur50_ldcsa,dbslmm,mix_eur50_ldcsa_DBSLMM_1.2,0.26558822561456,0.0346310115436348,5.19739005271267e-14,777
eur50,CSA,mix_eur50_ldcsa,quickprs,mix_eur50_ldcsa_quickprs,0.268188137286705,0.0346051482841217,2.8856093553287e-14,777
eur50,AMR,mix_eur50_ldamr,ptclump,mix_eur50_ldamr_0_5e-08,0.276044408798556,0.0345253433679135,4.68817765194834e-15,777
eur50,AMR,mix_eur50_ldamr,ptclump,mix_eur50_ldamr_0_1e-06,0.285866880777947,0.0344220508184429,4.44427211219907e-16,777
eur50,AMR,mix_eur50_ldamr,ptclump,mix_eur50_ldamr_0_1e-04,0.297582280077868,0.0342936989713884,2.36311226299299e-17,777
eur50,AMR,mix_eur50_ldamr,ptclump,mix_eur50_ldamr_0_0.01,0.301719243834953,0.0342470247900063,8.11429182205531e-18,777
